기간	자치구	동	성별	구분	구분	구분	구분	구분	구분	구분	구분
2008	종로구	교남동	남자	987	951	108	109	577	557	302	285
2008	종로구	교남동	여자	959	933	119	135	582	558	258	240
2008	종로구	가회동	계	1,065	1,182	194	243	565	628	306	311
2008	종로구	가회동	남자	503	594	84	130	271	307	148	157
2008	종로구	가회동	여자	562	588	110	113	294	321	158	154
2008	종로구	종로1.2.3.4가동	계	1,944	1,937	226	261	996	1,086	722	590
2008	종로구	종로1.2.3.4가동	남자	1,199	1,165	127	142	592	634	480	389
2008	종로구	종로1.2.3.4가동	여자	745	772	99	119	404	452	242	201
2008	종로구	종로5·6가동	계	1,117	1,312	200	319	569	610	348	383
2008	종로구	종로5·6가동	남자	634	706	106	152	311	321	217	233
2008	종로구	종로5·6가동	여자	483	606	94	167	258	289	131	150
2008	종로구	이화동	계	2,143	2,235	426	394	951	1,200	766	641
2008	종로구	이화동	남자	1,044	1,079	195	174	477	576	372	329
2008	종로구	이화동	여자	1,099	1,156	231	220	474	624	394	312
2008	종로구	혜화동	계	3,065	2,925	459	434	1,521	1,711	1,085	780
2008	종로구	혜화동	남자	1,548	1,478	235	212	767	845	546	421
2008	종로구	혜화동	여자	1,517	1,447	224	222	754	866	539	359
2008	종로구	명륜3가동	계	1,764	1,678	307	289	583	805	874	584
2008	종로구	명륜3가동	남자	1,028	960	157	153	321	461	550	346
2008	종로구	명륜3가동	여자	736	718	150	136	262	344	324	238
2008	종로구	창신1동	계	1,506	1,573	355	419	713	762	438	392
2008	종로구	창신1동	남자	786	833	175	224	381	403	230	206
2008	종로구	창신1동	여자	720	740	180	195	332	359	208	186
2008	종로구	창신2동	계	1,839	1,833	381	457	921	792	537	584
2008	종로구	창신2동	남자	975	966	197	238	488	417	290	311
2008	종로구	창신2동	여자	864	867	184	219	433	375	247	273
2008	종로구	창신3동	계	1,443	1,664	312	412	785	833	346	419
2008	종로구	창신3동	남자	695	825	156	213	377	401	162	211
2008	종로구	창신3동	여자	748	839	156	199	408	432	184	208
2008	종로구	숭인1동	계	2,350	1,391	555	374	1,320	690	475	327
2008	종로구	숭인1동	남자	1,143	664	285	166	631	324	227	174
2008	종로구	숭인1동	여자	1,207	727	270	208	689	366	248	153
2008	종로구	숭인2동	계	2,568	1,852	320	197	1,649	1,154	599	501
2008	종로구	숭인2동	남자	1,326	989	162	103	834	606	330	280
2008	종로구	숭인2동	여자	1,242	863	158	94	815	548	269	221
2008	종로구	청운효자동	계	3,374	3,899	881	1,108	1,543	1,781	950	1,010
2008	종로구	청운효자동	남자	1,636	1,920	442	535	747	891	447	494
2008	종로구	청운효자동	여자	1,738	1,979	439	573	796	890	503	516
2008	중구	소계	계	30,294	30,752	6,496	6,496	16,260	16,419	7,538	7,837
2008	중구	소계	남자	15,432	15,608	3,277	3,277	8,192	8,242	3,963	4,089
2008	중구	소계	여자	14,862	15,144	3,219	3,219	8,068	8,177	3,575	3,748
2008	중구	소공동	계	494	525	10	34	361	413	123	78
2008	중구	소공동	남자	227	243	4	16	165	192	58	35
2008	중구	소공동	여자	267	282	6	18	196	221	65	43
2008	중구	회현동	계	1,011	1,052	72	63	570	688	369	301
2008	중구	회현동	남자	631	611	43	37	353	407	235	167
2008	중구	회현동	여자	380	441	29	26	217	281	134	134
2008	중구	명동	계	570	620	40	51	295	383	235	186
2008	중구	명동	남자	295	340	24	26	163	221	108	93
2008	중구	명동	여자	275	280	16	25	132	162	127	93
2008	중구	필동	계	982	1,055	165	185	475	508	342	362
2008	중구	필동	남자	555	579	87	100	252	275	216	204
2008	중구	필동	여자	427	476	78	85	223	233	126	158
2008	중구	장충동	계	1,370	1,498	321	372	482	611	567	515
2008	중구	장충동	남자	744	791	157	187	264	316	323	288
2008	중구	장충동	여자	626	707	164	185	218	295	244	227
2008	중구	광희동	계	1,245	1,188	259	257	603	612	383	319
2008	중구	광희동	남자	703	643	138	144	340	318	225	181
2008	중구	광희동	여자	542	545	121	113	263	294	158	138
2008	중구	을지로동	계	530	528	60	76	278	264	192	188
2008	중구	을지로동	남자	342	328	39	47	184	163	119	118
2008	중구	을지로동	여자	188	200	21	29	94	101	73	70
2008	중구	신당1동	계	1,811	1,804	645	457	718	840	448	507
2008	중구	신당1동	남자	965	919	341	231	381	410	243	278
2008	중구	신당1동	여자	846	885	304	226	337	430	205	229
2008	중구	신당2동	계	3,798	3,569	1,259	822	1,613	1,747	926	1,000
2008	중구	신당2동	남자	1,888	1,773	625	405	812	849	451	519
2008	중구	신당2동	여자	1,910	1,796	634	417	801	898	475	481
2008	중구	신당3동	계	3,583	3,541	606	587	2,035	2,008	942	946
2008	중구	신당3동	남자	1,748	1,726	321	290	965	967	462	469
2008	중구	신당3동	여자	1,835	1,815	285	297	1,070	1,041	480	477
2008	중구	신당4동	계	2,889	2,872	904	636	1,323	1,433	662	803
2008	중구	신당4동	남자	1,364	1,435	419	319	624	728	321	388
2008	중구	신당4동	여자	1,525	1,437	485	317	699	705	341	415
2008	중구	신당5동	계	1,583	3,671	488	980	744	2,040	351	651
2008	중구	신당5동	남자	820	1,907	256	500	368	1,060	196	347
2008	중구	신당5동	여자	763	1,764	232	480	376	980	155	304
2008	중구	신당6동	계	2,000	4,620	688	1,675	873	2,155	439	790
2008	중구	신당6동	남자	973	2,237	341	821	411	1,027	221	389
2008	중구	신당6동	여자	1,027	2,383	347	854	462	1,128	218	401
2008	중구	황학동	계	6,020	1,551	906	216	4,185	888	929	447
2008	중구	황학동	남자	2,980	801	445	110	2,088	448	447	243
2008	중구	황학동	여자	3,040	750	461	106	2,097	440	482	204
2008	중구	중림동	계	2,408	2,658	73	85	1,705	1,829	630	744
2008	중구	중림동	남자	1,197	1,275	37	44	822	861	338	370
2008	중구	중림동	여자	1,211	1,383	36	41	883	968	292	374
2008	용산구	소계	계	49,673	48,616	10,964	10,964	23,203	22,356	15,506	15,296
2008	용산구	소계	남자	24,404	24,156	5,283	5,283	11,486	11,202	7,635	7,671
2008	용산구	소계	여자	25,269	24,460	5,681	5,681	11,717	11,154	7,871	7,625
2008	용산구	후암동	계	3,924	3,847	1,019	845	1,665	1,748	1,240	1,254
2008	용산구	후암동	남자	1,977	1,952	517	410	843	906	617	636
2008	용산구	후암동	여자	1,947	1,895	502	435	822	842	623	618
2008	용산구	용산2가동	계	2,356	2,299	575	535	1,024	935	757	829
2008	용산구	용산2가동	남자	1,173	1,121	278	259	525	460	370	402
2008	용산구	용산2가동	여자	1,183	1,178	297	276	499	475	387	427
2008	용산구	남영동	계	2,155	2,239	577	565	877	1,013	701	661
2008	용산구	남영동	남자	1,274	1,320	297	297	547	626	430	397
2008	용산구	남영동	여자	881	919	280	268	330	387	271	264
2008	용산구	원효로2동	계	2,902	2,990	688	580	1,419	1,476	795	934
2008	용산구	원효로2동	남자	1,367	1,459	313	264	676	715	378	480
2008	용산구	원효로2동	여자	1,535	1,531	375	316	743	761	417	454
2008	용산구	효창동	계	2,075	1,935	681	493	912	891	482	551
2008	용산구	효창동	남자	1,020	946	335	231	447	440	238	275
2008	용산구	효창동	여자	1,055	989	346	262	465	451	244	276
2008	용산구	용문동	계	2,216	2,282	648	558	962	1,048	606	676
2008	용산구	용문동	남자	1,101	1,141	319	271	488	523	294	347
2008	용산구	용문동	여자	1,115	1,141	329	287	474	525	312	329
2008	용산구	이촌1동	계	4,167	4,090	841	838	2,108	2,054	1,218	1,198
2008	용산구	이촌1동	남자	1,943	1,926	386	378	973	982	584	566
2008	용산구	이촌1동	여자	2,224	2,164	455	460	1,135	1,072	634	632
2008	용산구	이촌2동	계	1,841	1,730	419	464	783	752	639	514
2008	용산구	이촌2동	남자	875	833	192	215	371	372	312	246
2008	용산구	이촌2동	여자	966	897	227	249	412	380	327	268
2008	용산구	이태원1동	계	1,840	1,911	434	543	753	768	653	600
2008	용산구	이태원1동	남자	902	968	192	276	376	390	334	302
2008	용산구	이태원1동	여자	938	943	242	267	377	378	319	298
2008	용산구	이태원2동	계	2,026	2,083	425	396	949	970	652	717
2008	용산구	이태원2동	남자	942	1,024	194	181	444	477	304	366
2008	용산구	이태원2동	여자	1,084	1,059	231	215	505	493	348	351
2008	용산구	서빙고동	계	2,009	1,855	482	542	937	729	590	584
2008	용산구	서빙고동	남자	950	881	213	253	462	342	275	286
2008	용산구	서빙고동	여자	1,059	974	269	289	475	387	315	298
2008	용산구	보광동	계	3,516	3,436	835	753	1,511	1,428	1,170	1,255
2008	용산구	보광동	남자	1,752	1,641	416	337	740	665	596	639
2008	용산구	보광동	여자	1,764	1,795	419	416	771	763	574	616
2008	용산구	청파동	계	5,975	6,201	906	1,141	2,944	3,182	2,125	1,878
2008	용산구	청파동	남자	2,831	2,986	435	564	1,418	1,551	978	871
2008	용산구	청파동	여자	3,144	3,215	471	577	1,526	1,631	1,147	1,007
2008	용산구	원효로1동	계	1,900	2,039	636	572	714	853	550	614
2008	용산구	원효로1동	남자	942	1,063	317	288	354	448	271	327
2008	용산구	원효로1동	여자	958	976	319	284	360	405	279	287
2008	용산구	한강로동	계	5,856	4,934	1,035	1,323	3,137	2,281	1,684	1,330
2008	용산구	한강로동	남자	2,908	2,546	507	660	1,568	1,205	833	681
2008	용산구	한강로동	여자	2,948	2,388	528	663	1,569	1,076	851	649
2008	용산구	한남동	계	4,915	4,745	763	816	2,508	2,228	1,644	1,701
2008	용산구	한남동	남자	2,447	2,349	372	399	1,254	1,100	821	850
2008	용산구	한남동	여자	2,468	2,396	391	417	1,254	1,128	823	851
2008	성동구	소계	계	56,177	77,955	17,919	17,919	22,872	40,474	15,386	19,562
2008	성동구	소계	남자	28,393	39,417	8,856	8,856	11,577	20,320	7,960	10,241
2008	성동구	소계	여자	27,784	38,538	9,063	9,063	11,295	20,154	7,426	9,321
2008	성동구	왕십리2동	계	2,994	11,488	1,056	3,139	1,125	6,594	813	1,755
2008	성동구	왕십리2동	남자	1,518	5,783	502	1,574	608	3,310	408	899
2008	성동구	왕십리2동	여자	1,476	5,705	554	1,565	517	3,284	405	856
2008	성동구	마장동	계	3,553	3,359	1,397	761	1,390	1,669	766	929
2008	성동구	마장동	남자	1,772	1,662	696	373	698	824	378	465
2008	성동구	마장동	여자	1,781	1,697	701	388	692	845	388	464
2008	성동구	사근동	계	4,491	4,543	1,820	773	1,581	2,337	1,090	1,433
2008	성동구	사근동	남자	2,324	2,376	940	401	812	1,210	572	765
2008	성동구	사근동	여자	2,167	2,167	880	372	769	1,127	518	668
2008	성동구	행당1동	계	2,657	2,697	581	554	720	1,142	1,356	1,001
2008	성동구	행당1동	남자	1,522	1,527	304	291	398	640	820	596
2008	성동구	행당1동	여자	1,135	1,170	277	263	322	502	536	405
2008	성동구	행당2동	계	3,623	3,720	1,489	988	1,233	1,734	901	998
2008	성동구	행당2동	남자	1,763	1,834	703	462	604	856	456	516
2008	성동구	행당2동	여자	1,860	1,886	786	526	629	878	445	482
2008	성동구	응봉동	계	3,530	5,201	1,125	1,429	1,521	2,511	884	1,261
2008	성동구	응봉동	남자	1,664	2,501	508	646	727	1,219	429	636
2008	성동구	응봉동	여자	1,866	2,700	617	783	794	1,292	455	625
2008	성동구	금호1가동	계	3,232	3,337	1,257	762	1,242	1,637	733	938
2008	성동구	금호1가동	남자	1,530	1,604	592	371	580	757	358	476
2008	성동구	금호1가동	여자	1,702	1,733	665	391	662	880	375	462
2008	성동구	금호4가동	계	2,961	3,937	1,509	1,029	891	1,993	561	915
2008	성동구	금호4가동	남자	1,398	1,964	705	499	408	996	285	469
2008	성동구	금호4가동	여자	1,563	1,973	804	530	483	997	276	446
2008	성동구	성수1가1동	계	4,059	9,345	1,664	3,123	1,384	4,401	1,011	1,821
2008	성동구	성수1가1동	남자	1,910	4,493	789	1,485	669	2,106	452	902
2008	성동구	성수1가1동	여자	2,149	4,852	875	1,638	715	2,295	559	919
2008	성동구	성수1가2동	계	3,079	3,920	1,128	1,148	1,231	1,892	720	880
2008	성동구	성수1가2동	남자	1,471	1,892	553	530	592	925	326	437
2008	성동구	성수1가2동	여자	1,608	2,028	575	618	639	967	394	443
2008	성동구	성수2가1동	계	4,041	7,018	711	1,215	2,056	4,182	1,274	1,621
2008	성동구	성수2가1동	남자	1,973	3,483	347	604	980	2,053	646	826
2008	성동구	성수2가1동	여자	2,068	3,535	364	611	1,076	2,129	628	795
2008	성동구	성수2가3동	계	3,384	3,722	1,116	853	1,300	1,731	968	1,138
2008	성동구	성수2가3동	남자	1,794	1,925	588	462	693	861	513	602
2008	성동구	성수2가3동	여자	1,590	1,797	528	391	607	870	455	536
2008	성동구	송정동	계	3,625	4,040	922	752	1,602	2,074	1,101	1,214
2008	성동구	송정동	남자	1,870	2,106	490	391	782	1,053	598	662
2008	성동구	송정동	여자	1,755	1,934	432	361	820	1,021	503	552
2008	성동구	용답동	계	3,332	3,563	812	621	1,509	1,743	1,011	1,199
2008	성동구	용답동	남자	1,760	1,918	430	328	795	922	535	668
2008	성동구	용답동	여자	1,572	1,645	382	293	714	821	476	531
2008	성동구	왕십리도선동	계	2,232	2,512	506	439	1,028	1,364	698	709
2008	성동구	왕십리도선동	남자	1,180	1,329	264	256	548	713	368	360
2008	성동구	왕십리도선동	여자	1,052	1,183	242	183	480	651	330	349
2008	성동구	금호2.3가동	계	2,344	2,492	326	176	1,384	1,505	634	811
2008	성동구	금호2.3가동	남자	1,264	1,315	185	91	746	776	333	448
2008	성동구	금호2.3가동	여자	1,080	1,177	141	85	638	729	301	363
2008	성동구	옥수동	계	3,040	3,061	500	157	1,675	1,965	865	939
2008	성동구	옥수동	남자	1,680	1,705	260	92	937	1,099	483	514
2008	성동구	옥수동	여자	1,360	1,356	240	65	738	866	382	425
2008	광진구	소계	계	72,506	76,456	20,276	20,276	29,107	31,759	23,123	24,421
2008	광진구	소계	남자	35,822	38,015	9,874	9,874	14,469	15,853	11,479	12,288
2008	광진구	소계	여자	36,684	38,441	10,402	10,402	14,638	15,906	11,644	12,133
2008	광진구	화양동	계	5,427	6,078	791	1,297	1,962	2,531	2,674	2,250
2008	광진구	화양동	남자	2,779	3,140	380	647	1,005	1,294	1,394	1,199
2008	광진구	화양동	여자	2,648	2,938	411	650	957	1,237	1,280	1,051
2008	광진구	군자동	계	4,888	4,712	906	1,041	2,338	2,108	1,644	1,563
2008	광진구	군자동	남자	2,483	2,397	463	517	1,172	1,073	848	807
2008	광진구	군자동	여자	2,405	2,315	443	524	1,166	1,035	796	756
2008	광진구	중곡1동	계	3,903	4,050	1,308	1,286	1,568	1,659	1,027	1,105
2008	광진구	중곡1동	남자	1,940	2,061	647	622	796	845	497	594
2008	광진구	중곡1동	여자	1,963	1,989	661	664	772	814	530	511
2008	광진구	중곡2동	계	4,698	4,945	1,723	1,614	1,852	1,919	1,123	1,412
2008	광진구	중곡2동	남자	2,290	2,389	809	776	927	951	554	662
2008	광진구	중곡2동	여자	2,408	2,556	914	838	925	968	569	750
2008	광진구	중곡3동	계	4,003	4,433	1,228	1,154	1,820	2,124	955	1,155
2008	광진구	중곡3동	남자	2,010	2,145	610	553	908	1,016	492	576
2008	광진구	중곡3동	여자	1,993	2,288	618	601	912	1,108	463	579
2008	광진구	중곡4동	계	6,113	6,380	2,124	1,908	2,477	2,582	1,512	1,890
2008	광진구	중곡4동	남자	2,923	3,101	1,037	903	1,165	1,271	721	927
2008	광진구	중곡4동	여자	3,190	3,279	1,087	1,005	1,312	1,311	791	963
2008	광진구	능동	계	2,475	2,570	652	701	970	1,082	853	787
2008	광진구	능동	남자	1,174	1,270	314	346	467	517	393	407
2008	광진구	능동	여자	1,301	1,300	338	355	503	565	460	380
2008	광진구	구의1동	계	5,152	5,553	1,528	1,393	1,853	2,224	1,771	1,936
2008	광진구	구의1동	남자	2,475	2,685	741	681	898	1,069	836	935
2008	광진구	구의1동	여자	2,677	2,868	787	712	955	1,155	935	1,001
2008	광진구	구의2동	계	4,866	5,189	1,606	1,433	1,881	2,027	1,379	1,729
2008	광진구	구의2동	남자	2,408	2,560	778	687	942	1,010	688	863
2008	광진구	구의2동	여자	2,458	2,629	828	746	939	1,017	691	866
2008	광진구	구의3동	계	5,178	5,650	1,413	1,363	2,063	2,486	1,702	1,801
2008	광진구	구의3동	남자	2,527	2,815	676	678	1,019	1,252	832	885
2008	광진구	구의3동	여자	2,651	2,835	737	685	1,044	1,234	870	916
2008	광진구	광장동	계	5,564	5,174	1,276	841	2,295	2,647	1,993	1,686
2008	광진구	광장동	남자	2,676	2,593	615	402	1,095	1,342	966	849
2008	광진구	광장동	여자	2,888	2,581	661	439	1,200	1,305	1,027	837
2008	광진구	자양1동	계	5,157	5,345	1,824	1,757	1,698	1,807	1,635	1,781
2008	광진구	자양1동	남자	2,538	2,664	870	852	829	911	839	901
2008	광진구	자양1동	여자	2,619	2,681	954	905	869	896	796	880
2008	광진구	자양2동	계	4,974	5,428	1,613	1,620	1,818	1,925	1,543	1,883
2008	광진구	자양2동	남자	2,494	2,671	795	775	916	962	783	934
2008	광진구	자양2동	여자	2,480	2,757	818	845	902	963	760	949
2008	광진구	자양3동	계	5,385	5,266	1,426	1,427	2,365	2,293	1,594	1,546
2008	광진구	자양3동	남자	2,674	2,642	697	705	1,226	1,155	751	782
2008	광진구	자양3동	여자	2,711	2,624	729	722	1,139	1,138	843	764
2008	광진구	자양4동	계	4,723	5,683	858	1,441	2,147	2,345	1,718	1,897
2008	광진구	자양4동	남자	2,431	2,882	442	730	1,104	1,185	885	967
2008	광진구	자양4동	여자	2,292	2,801	416	711	1,043	1,160	833	930
2008	동대문구	소계	계	69,935	78,269	24,004	24,004	26,586	32,230	19,345	22,035
2008	동대문구	소계	남자	35,912	39,858	12,016	12,016	13,728	16,277	10,168	11,565
2008	동대문구	소계	여자	34,023	38,411	11,988	11,988	12,858	15,953	9,177	10,470
2008	동대문구	신설동	계	1,999	2,047	306	366	1,175	1,114	518	567
2008	동대문구	신설동	남자	1,060	1,107	158	194	610	592	292	321
2008	동대문구	신설동	여자	939	940	148	172	565	522	226	246
2008	동대문구	제기1동	계	3,750	3,832	840	912	1,818	1,721	1,092	1,199
2008	동대문구	제기1동	남자	2,015	1,991	448	477	1,003	885	564	629
2008	동대문구	제기1동	여자	1,735	1,841	392	435	815	836	528	570
2008	동대문구	제기2동	계	2,105	2,867	576	876	948	1,217	581	774
2008	동대문구	제기2동	남자	1,132	1,468	303	444	525	626	304	398
2008	동대문구	제기2동	여자	973	1,399	273	432	423	591	277	376
2008	동대문구	전농1동	계	3,220	3,304	707	646	1,434	1,649	1,079	1,009
2008	동대문구	전농1동	남자	1,726	1,773	368	342	754	874	604	557
2008	동대문구	전농1동	여자	1,494	1,531	339	304	680	775	475	452
2008	동대문구	전농3동	계	1,879	5,645	779	2,759	610	1,887	490	999
2008	동대문구	전농3동	남자	948	2,814	401	1,377	301	919	246	518
2008	동대문구	전농3동	여자	931	2,831	378	1,382	309	968	244	481
2008	동대문구	답십리1동	계	4,006	5,211	1,917	1,970	999	1,959	1,090	1,282
2008	동대문구	답십리1동	남자	2,157	2,732	939	992	566	1,040	652	700
2008	동대문구	답십리1동	여자	1,849	2,479	978	978	433	919	438	582
2008	동대문구	답십리2동	계	3,020	3,363	1,450	1,138	1,017	1,316	553	909
2008	동대문구	답십리2동	남자	1,450	1,625	687	556	501	621	262	448
2008	동대문구	답십리2동	여자	1,570	1,738	763	582	516	695	291	461
2008	동대문구	답십리4동	계	1,723	1,852	806	699	562	688	355	465
2008	동대문구	답십리4동	남자	875	921	399	323	303	355	173	243
2008	동대문구	답십리4동	여자	848	931	407	376	259	333	182	222
2008	동대문구	장안1동	계	2,533	2,681	1,145	972	921	1,076	467	633
2008	동대문구	장안1동	남자	1,253	1,337	552	487	472	530	229	320
2008	동대문구	장안1동	여자	1,280	1,344	593	485	449	546	238	313
2008	동대문구	장안2동	계	2,943	3,242	1,006	960	1,215	1,375	722	907
2008	동대문구	장안2동	남자	1,535	1,660	523	471	616	684	396	505
2008	동대문구	장안2동	여자	1,408	1,582	483	489	599	691	326	402
2008	동대문구	장안3동	계	2,411	2,453	897	922	1,039	886	475	645
2008	동대문구	장안3동	남자	1,190	1,213	449	460	504	432	237	321
2008	동대문구	장안3동	여자	1,221	1,240	448	462	535	454	238	324
2008	동대문구	장안4동	계	3,504	3,756	1,283	1,237	1,384	1,460	837	1,059
2008	동대문구	장안4동	남자	1,852	1,977	663	649	731	768	458	560
2008	동대문구	장안4동	여자	1,652	1,779	620	588	653	692	379	499
2008	동대문구	회기동	계	4,024	3,758	1,452	1,110	1,622	1,562	950	1,086
2008	동대문구	회기동	남자	2,085	1,929	764	547	824	791	497	591
2008	동대문구	회기동	여자	1,939	1,829	688	563	798	771	453	495
2008	동대문구	휘경1동	계	3,402	3,408	1,067	954	1,578	1,542	757	912
2008	동대문구	휘경1동	남자	1,713	1,738	532	489	787	787	394	462
2008	동대문구	휘경1동	여자	1,689	1,670	535	465	791	755	363	450
2008	동대문구	휘경2동	계	2,884	2,868	1,337	978	919	1,078	628	812
2008	동대문구	휘경2동	남자	1,460	1,452	671	498	467	537	322	417
2008	동대문구	휘경2동	여자	1,424	1,416	666	480	452	541	306	395
2008	동대문구	이문1동	계	4,300	4,270	1,777	1,241	1,487	1,723	1,036	1,306
2008	동대문구	이문1동	남자	2,169	2,133	863	618	758	847	548	668
2008	동대문구	이문1동	여자	2,131	2,137	914	623	729	876	488	638
2008	동대문구	이문2동	계	2,753	3,287	696	1,050	841	1,184	1,216	1,053
2008	동대문구	이문2동	남자	1,413	1,678	350	526	445	592	618	560
2008	동대문구	이문2동	여자	1,340	1,609	346	524	396	592	598	493
2008	동대문구	이문3동	계	3,846	3,811	1,432	1,074	1,171	1,562	1,243	1,175
2008	동대문구	이문3동	남자	1,963	1,909	732	546	614	777	617	586
2008	동대문구	이문3동	여자	1,883	1,902	700	528	557	785	626	589
2008	동대문구	용두동	계	4,365	5,597	1,460	1,571	1,471	2,346	1,434	1,680
2008	동대문구	용두동	남자	2,202	2,849	692	802	730	1,171	780	876
2008	동대문구	용두동	여자	2,163	2,748	768	769	741	1,175	654	804
2008	동대문구	전농2동	계	2,919	2,839	969	798	984	1,119	966	922
2008	동대문구	전농2동	남자	1,455	1,397	465	374	500	553	490	470
2008	동대문구	전농2동	여자	1,464	1,442	504	424	484	566	476	452
2008	동대문구	답십리3동	계	4,421	4,397	1,275	1,197	1,326	1,677	1,820	1,523
2008	동대문구	답십리3동	남자	2,266	2,236	633	572	675	837	958	827
2008	동대문구	답십리3동	여자	2,155	2,161	642	625	651	840	862	696
2008	동대문구	청량리동	계	3,928	3,781	827	574	2,065	2,089	1,036	1,118
2008	동대문구	청량리동	남자	1,993	1,919	424	272	1,042	1,059	527	588
2008	동대문구	청량리동	여자	1,935	1,862	403	302	1,023	1,030	509	530
2008	중랑구	소계	계	79,115	80,820	29,741	29,741	28,926	25,691	20,448	25,388
2008	중랑구	소계	남자	39,705	40,300	14,715	14,715	14,702	12,709	10,288	12,876
2008	중랑구	소계	여자	39,410	40,520	15,026	15,026	14,224	12,982	10,160	12,512
2008	중랑구	면목2동	계	5,321	5,369	1,961	2,030	2,086	1,603	1,274	1,736
2008	중랑구	면목2동	남자	2,679	2,708	965	1,031	1,053	803	661	874
2008	중랑구	면목2동	여자	2,642	2,661	996	999	1,033	800	613	862
2008	중랑구	면목4동	계	4,337	4,711	920	1,233	2,228	2,002	1,189	1,476
2008	중랑구	면목4동	남자	2,130	2,264	453	618	1,128	959	549	687
2008	중랑구	면목4동	여자	2,207	2,447	467	615	1,100	1,043	640	789
2008	중랑구	면목5동	계	2,891	2,964	1,052	1,243	1,180	869	659	852
2008	중랑구	면목5동	남자	1,475	1,544	513	642	602	460	360	442
2008	중랑구	면목5동	여자	1,416	1,420	539	601	578	409	299	410
2008	중랑구	면목7동	계	5,009	5,271	1,579	1,829	2,271	2,005	1,159	1,437
2008	중랑구	면목7동	남자	2,475	2,621	776	919	1,117	977	582	725
2008	중랑구	면목7동	여자	2,534	2,650	803	910	1,154	1,028	577	712
2008	중랑구	상봉1동	계	4,342	4,455	2,054	1,771	1,262	1,285	1,026	1,399
2008	중랑구	상봉1동	남자	2,172	2,231	1,010	868	651	651	511	712
2008	중랑구	상봉1동	여자	2,170	2,224	1,044	903	611	634	515	687
2008	중랑구	상봉2동	계	4,366	4,359	1,682	1,849	1,452	1,149	1,232	1,361
2008	중랑구	상봉2동	남자	2,264	2,202	863	921	759	583	642	698
2008	중랑구	상봉2동	여자	2,102	2,157	819	928	693	566	590	663
2008	중랑구	중화1동	계	4,135	4,369	1,817	1,832	1,444	1,393	874	1,144
2008	중랑구	중화1동	남자	2,055	2,181	900	872	715	712	440	597
2008	중랑구	중화1동	여자	2,080	2,188	917	960	729	681	434	547
2008	중랑구	중화2동	계	5,684	5,967	1,837	2,076	2,187	1,893	1,660	1,998
2008	중랑구	중화2동	남자	2,879	3,031	911	1,048	1,108	936	860	1,047
2008	중랑구	중화2동	여자	2,805	2,936	926	1,028	1,079	957	800	951
2008	중랑구	묵1동	계	6,130	6,411	1,855	1,820	2,732	2,645	1,543	1,946
2008	중랑구	묵1동	남자	3,015	3,131	909	877	1,364	1,275	742	979
2008	중랑구	묵1동	여자	3,115	3,280	946	943	1,368	1,370	801	967
2008	중랑구	묵2동	계	4,124	4,211	1,472	1,364	1,605	1,537	1,047	1,310
2008	중랑구	묵2동	남자	2,090	2,136	723	680	852	787	515	669
2008	중랑구	묵2동	여자	2,034	2,075	749	684	753	750	532	641
2008	중랑구	망우3동	계	4,012	3,978	1,921	1,899	1,138	860	953	1,219
2008	중랑구	망우3동	남자	2,052	1,987	937	926	630	434	485	627
2008	중랑구	망우3동	여자	1,960	1,991	984	973	508	426	468	592
