,행정기관,전국  (0000000000000),서울특별시  (1100000000),부산광역시  (2600000000),대구광역시  (2700000000),인천광역시  (2800000000),광주광역시  (2900000000),대전광역시  (3000000000),울산광역시  (3100000000),경기도  (4100000000),강원도  (4200000000),충청북도  (4300000000),충청남도  (4400000000),전라북도  (4500000000),전라남도  (4600000000),경상북도  (4700000000),경상남도  (4800000000),제주특별자치도  (5000000000),
2009년02월,세대수,"19,035,367","4,105,460","1,313,050","897,472","1,015,152","514,167","532,856","390,282","4,290,863","607,061","588,564","814,000","711,551","774,246","1,058,769","1,206,620","215,254",
2009년03월,세대수,"19,053,290","4,107,632","1,314,555","898,598","1,015,562","514,772","533,292","390,906","4,289,568","609,786","590,055","814,821","712,569","775,478","1,060,744","1,209,433","215,519",
2009년04월,세대수,"19,051,754","4,101,230","1,313,045","897,593","1,014,383","515,049","532,910","390,851","4,295,282","610,132","590,496","815,191","712,541","775,918","1,061,153","1,210,564","215,416",
2009년05월,세대수,"19,072,645","4,103,180","1,314,508","898,542","1,015,846","515,900","533,377","391,430","4,299,820","610,763","591,436","815,949","713,409","776,740","1,063,516","1,212,619","215,610",
2009년06월,세대수,"19,103,524","4,106,591","1,316,378","899,997","1,017,397","517,135","534,204","392,031","4,306,247","612,079","592,805","817,836","715,232","778,410","1,065,239","1,215,938","216,005",
2009년07월,세대수,"19,132,048","4,109,330","1,317,919","901,531","1,018,860","518,685","534,934","392,552","4,313,111","612,929","594,039","819,305","716,542","779,817","1,066,738","1,219,211","216,545",
2009년08월,세대수,"19,160,503","4,113,510","1,319,384","902,921","1,020,317","519,842","536,058","392,976","4,321,512","613,815","595,139","820,408","717,531","780,603","1,067,556","1,222,078","216,853",
2009년09월,세대수,"19,192,676","4,116,591","1,321,022","904,304","1,022,386","521,740","536,961","393,306","4,332,099","614,706","596,557","822,319","718,532","781,162","1,069,164","1,224,836","216,991",
2009년10월,세대수,"19,222,752","4,119,041","1,322,677","905,890","1,024,473","522,411","537,662","393,792","4,341,829","615,726","597,913","824,480","719,630","781,818","1,070,474","1,227,674","217,262",
2009년11월,세대수,"19,247,090","4,118,444","1,323,704","906,779","1,026,305","523,242","538,174","394,309","4,352,141","616,746","598,633","826,504","720,377","782,467","1,071,915","1,229,865","217,485",
2009년12월,세대수,"19,261,292","4,116,660","1,323,771","906,470","1,026,936","524,093","538,100","394,364","4,359,467","617,693","599,204","827,846","720,993","783,156","1,073,367","1,231,461","217,711",
2010년01월,세대수,"19,286,364","4,120,522","1,325,267","907,991","1,028,849","524,774","538,866","394,972","4,370,068","617,461","599,551","828,572","721,486","782,993","1,073,671","1,233,416","217,905",
2010년02월,세대수,"19,310,612","4,123,243","1,326,820","909,208","1,030,316","525,757","539,689","395,224","4,379,970","617,789","600,209","829,630","722,468","782,997","1,074,293","1,234,783","218,216",
2010년03월,세대수,"19,333,457","4,121,193","1,327,498","909,443","1,030,635","526,105","540,978","395,663","4,389,044","620,378","600,923","832,238","723,063","784,879","1,076,067","1,236,943","218,407",
2010년04월,세대수,"19,355,075","4,119,628","1,328,630","910,126","1,031,821","526,486","541,598","396,135","4,397,904","621,302","601,753","833,937","724,032","785,939","1,077,998","1,239,069","218,717",
2010년05월,세대수,"19,372,533","4,117,385","1,329,358","910,768","1,032,900","527,307","542,177","396,915","4,405,757","621,994","602,623","834,940","724,802","786,357","1,079,324","1,240,977","218,949",
2010년06월,세대수,"19,388,588","4,116,225","1,330,551","911,797","1,033,964","528,185","542,390","397,402","4,413,120","622,617","603,517","836,108","725,309","786,308","1,079,510","1,242,464","219,121",
2010년07월,세대수,"19,403,604","4,115,216","1,331,626","912,516","1,034,876","528,968","542,997","397,701","4,419,637","623,042","604,271","836,993","726,128","786,457","1,080,085","1,243,726","219,365",
2010년08월,세대수,"19,423,315","4,115,724","1,332,804","913,539","1,035,986","529,909","543,836","397,998","4,427,169","624,593","605,109","838,102","726,852","786,323","1,080,829","1,244,975","219,567",
2010년09월,세대수,"19,437,869","4,114,216","1,333,622","914,373","1,036,696","530,853","544,471","398,374","4,433,136","625,530","605,925","839,270","727,560","786,390","1,081,372","1,246,390","219,691",
2010년10월,세대수,"19,845,601","4,231,995","1,371,410","933,966","1,058,472","539,383","554,760","404,547","4,516,834","638,207","615,523","852,650","739,296","799,033","1,098,456","1,266,658","224,411",
2010년11월,세대수,"19,857,428","4,227,785","1,371,751","934,494","1,059,122","540,221","555,421","405,043","4,522,713","639,016","616,340","853,709","739,990","799,154","1,100,189","1,267,853","224,627",
2010년12월,세대수,"19,865,179","4,224,181","1,371,346","934,598","1,059,664","540,875","555,768","405,501","4,527,282","639,001","617,431","854,432","740,650","799,520","1,101,486","1,268,731","224,713",
2011년01월,세대수,"19,869,849","4,223,301","1,371,509","935,007","1,060,116","541,247","556,329","406,038",0,"4,530,271","638,519","617,718","854,411","741,054","798,984","1,101,294","1,269,140","224,911"
2011년02월,세대수,"19,891,086","4,225,512","1,373,295","935,938","1,062,076","542,255","557,532","406,599",0,"4,536,302","638,649","618,733","855,359","742,129","798,865","1,101,908","1,270,591","225,343"
2011년03월,세대수,"19,906,696","4,221,613","1,374,241","935,956","1,063,075","542,647","558,301","407,260",0,"4,540,195","641,429","619,493","857,939","743,089","800,032","1,103,224","1,272,563","225,639"
2011년04월,세대수,"19,923,412","4,219,198","1,375,107","936,270","1,064,368","543,475","558,930","407,954",0,"4,544,305","643,592","620,407","859,394","744,347","800,712","1,104,535","1,274,894","225,924"
2011년05월,세대수,"19,935,590","4,214,866","1,376,830","936,704","1,065,565","544,285","560,058","408,484",0,"4,547,939","644,038","621,172","860,847","745,441","801,163","1,105,615","1,276,385","226,198"
2011년06월,세대수,"19,945,050","4,210,104","1,378,685","936,991","1,067,133","544,876","560,935","409,215",0,"4,550,160","644,335","621,811","861,862","747,198","801,669","1,106,539","1,277,196","226,341"
2011년07월,세대수,"19,952,383","4,206,353","1,378,565","937,457","1,068,484","545,633","561,419","409,702",0,"4,553,412","644,831","622,442","862,721","748,050","801,645","1,107,200","1,277,935","226,534"
2011년08월,세대수,"19,968,170","4,204,155","1,378,849","938,200","1,070,305","546,882","562,159","410,235",0,"4,558,574","645,355","623,266","863,680","749,933","801,809","1,108,259","1,279,668","226,841"
2011년09월,세대수,"19,985,664","4,201,510","1,379,448","939,045","1,071,976","547,471","563,285","410,836",0,"4,563,230","645,878","624,389","864,902","751,752","802,841","1,110,089","1,281,853","227,159"
2011년10월,세대수,"20,004,361","4,199,109","1,380,183","939,807","1,074,318","548,210","564,638","411,674",0,"4,567,952","646,958","625,535","866,120","753,043","803,551","1,111,715","1,284,084","227,464"
2011년11월,세대수,"20,019,850","4,195,791","1,381,372","940,328","1,076,471","548,675","565,439","412,091",0,"4,573,060","648,279","626,388","867,345","754,104","804,301","1,113,013","1,285,513","227,680"
2011년12월,세대수,"20,033,142","4,192,752","1,381,257","940,770","1,077,563","549,105","566,324","412,561",0,"4,579,405","648,649","627,006","868,768","754,479","805,051","1,114,901","1,286,678","227,873"
2012년01월,세대수,"20,038,189","4,191,988","1,381,019","941,488","1,078,500","549,621","567,349","413,114",0,"4,581,590","648,009","627,258","869,373","754,343","804,526","1,114,506","1,287,427","228,078"
2012년02월,세대수,"20,061,711","4,194,856","1,382,268","942,909","1,080,401","550,922","569,064","414,142",0,"4,588,065","648,131","628,007","871,275","755,050","804,612","1,115,190","1,288,213","228,606"
2012년03월,세대수,"20,081,106","4,192,477","1,383,129","943,293","1,081,754","551,779","570,007","415,381",0,"4,592,491","651,414","629,236","872,725","756,575","805,800","1,116,512","1,289,454","229,079"
2012년04월,세대수,"20,094,955","4,190,283","1,383,742","943,826","1,083,488","551,847","570,860","416,576",0,"4,596,720","652,486","630,148","874,056","757,074","806,372","1,117,150","1,290,909","229,418"
2012년05월,세대수,"20,109,711","4,188,758","1,383,896","944,380","1,085,300","552,239","571,755","417,317",0,"4,601,413","653,384","630,872","875,362","757,366","806,848","1,117,991","1,292,968","229,862"
2012년06월,세대수,"20,122,836","4,187,283","1,384,518","945,175","1,086,762","552,657","572,411","417,814",0,"4,605,492","653,835","631,512","876,728","757,812","807,255","1,118,883","1,294,469","230,230"
2012년07월,세대수,"20,137,163","4,186,203","1,385,771","945,747","1,088,559","553,169","572,926","418,391","43,364","4,609,946","654,172","629,362","838,007","758,143","807,574","1,119,683","1,295,467","230,679"
2012년08월,세대수,"20,153,476","4,185,964","1,386,827","946,764","1,090,342","553,780","573,311","419,394","44,460","4,615,762","654,381","630,073","838,591","758,518","807,518","1,120,164","1,296,616","231,011"
2012년09월,세대수,"20,167,152","4,185,440","1,387,335","947,187","1,092,022","554,176","573,847","419,957","44,934","4,620,473","655,021","631,133","839,306","758,814","807,769","1,120,900","1,297,543","231,295"
2012년10월,세대수,"20,182,469","4,182,937","1,387,958","947,745","1,094,054","554,688","574,436","420,865","45,493","4,626,371","655,349","632,225","840,234","759,105","807,934","1,122,136","1,299,291","231,648"
2012년11월,세대수,"20,196,798","4,180,568","1,388,602","948,321","1,095,983","555,377","575,014","421,545","45,914","4,632,096","655,509","632,639","841,427","759,809","808,074","1,123,736","1,300,204","231,980"
2012년12월,세대수,"20,211,770","4,177,970","1,389,526","948,652","1,097,491","555,538","575,600","422,177","46,592","4,639,665","655,301","633,166","842,446","760,189","808,682","1,125,195","1,301,439","232,141"
2013년01월,세대수,"20,223,716","4,178,537","1,390,482","949,135","1,098,867","556,033","576,298","422,783","46,817","4,644,387","654,872","633,577","843,309","760,097","808,285","1,126,044","1,301,794","232,399"
2013년02월,세대수,"20,248,440","4,181,574","1,392,593","950,116","1,100,751","556,633","577,469","423,523","47,246","4,651,451","654,835","634,382","844,895","761,049","808,704","1,126,942","1,303,194","233,083"
2013년03월,세대수,"20,273,632","4,182,314","1,394,327","951,239","1,102,546","557,409","578,317","425,127","47,492","4,657,095","657,367","635,413","846,337","761,586","810,358","1,128,339","1,304,652","233,714"
2013년04월,세대수,"20,295,992","4,182,017","1,395,693","952,603","1,104,798","558,212","579,119","425,672","47,671","4,662,907","659,050","636,719","847,856","762,299","811,127","1,129,336","1,306,563","234,350"
2013년05월,세대수,"20,316,172","4,181,819","1,396,943","954,131","1,106,340","558,883","579,989","426,252","47,902","4,669,308","659,982","637,656","849,206","762,625","811,950","1,130,416","1,307,963","234,807"
2013년06월,세대수,"20,337,060","4,181,577","1,398,062","954,909","1,108,281","559,606","580,723","427,102","47,994","4,675,231","660,846","639,082","850,636","763,138","812,667","1,131,718","1,310,249","235,239"
2013년07월,세대수,"20,353,395","4,181,320","1,398,777","955,615","1,110,028","560,156","581,470","427,823","48,142","4,680,917","661,141","639,976","851,630","763,525","812,934","1,132,318","1,311,797","235,826"
2013년08월,세대수,"20,373,300","4,183,132","1,399,919","956,366","1,111,667","560,805","582,064","428,973","48,319","4,687,386","661,758","640,589","852,765","764,029","812,865","1,133,265","1,313,036","236,362"
2013년09월,세대수,"20,393,578","4,184,537","1,401,269","957,448","1,113,335","561,431","582,711","429,345","48,419","4,693,661","662,541","641,351","854,028","764,516","813,415","1,134,249","1,314,455","236,867"
2013년10월,세대수,"20,418,259","4,185,280","1,402,700","958,738","1,115,516","562,285","583,581","429,874","48,624","4,700,260","663,630","642,674","855,600","765,111","814,145","1,135,742","1,317,001","237,498"
2013년11월,세대수,"20,437,628","4,184,122","1,404,011","959,457","1,117,478","563,078","584,215","430,697","48,860","4,706,010","664,587","643,305","856,606","765,922","815,023","1,137,629","1,318,669","237,959"
2013년12월,세대수,"20,456,588","4,182,351","1,404,663","960,265","1,118,988","563,599","584,877","431,595","50,045","4,712,324","664,913","644,062","857,699","766,699","815,769","1,139,387","1,320,887","238,465"
2014년01월,세대수,"20,466,884","4,182,556","1,405,145","960,941","1,119,942","563,922","585,415","432,230","50,676","4,716,710","664,027","644,187","858,444","766,686","815,503","1,139,463","1,322,143","238,894"
2014년02월,세대수,"20,500,837","4,188,621","1,408,084","962,186","1,122,115","564,920","586,973","433,156","51,502","4,725,455","663,906","645,224","860,214","767,406","816,232","1,140,927","1,324,226","239,690"
2014년03월,세대수,"20,527,351","4,190,331","1,409,289","963,633","1,123,401","565,417","587,986","434,103","51,915","4,731,176","666,873","646,129","862,148","768,363","817,746","1,142,501","1,326,081","240,259"
2014년04월,세대수,"20,549,492","4,189,778","1,409,861","964,238","1,125,002","566,030","588,803","434,999","52,484","4,737,047","668,131","648,047","863,877","769,136","819,764","1,143,377","1,327,985","240,933"
2014년05월,세대수,"20,567,959","4,189,440","1,410,558","964,444","1,126,619","567,451","589,333","435,848","53,101","4,742,158","668,750","649,024","865,343","769,886","820,119","1,144,241","1,330,005","241,639"
2014년06월,세대수,"20,586,788","4,189,495","1,412,091","965,153","1,127,861","568,269","590,008","436,822","53,497","4,748,611","668,897","650,157","866,215","770,284","820,342","1,145,091","1,331,704","242,291"
2014년07월,세대수,"20,606,866","4,190,836","1,413,009","965,763","1,129,205","569,296","590,759","437,607","53,955","4,755,195","668,835","651,236","867,154","771,009","820,605","1,145,875","1,333,573","242,954"
2014년08월,세대수,"20,628,782","4,193,111","1,414,444","966,249","1,130,171","570,145","591,457","438,527","54,856","4,761,863","669,209","652,347","867,894","771,868","820,610","1,147,039","1,335,420","243,572"
2014년09월,세대수,"20,655,145","4,195,210","1,416,330","966,291","1,131,694","570,894","591,975","439,277","56,169","4,769,074","669,874","653,584","868,622","772,627","820,873","1,151,129","1,337,347","244,175"
2014년10월,세대수,"20,682,278","4,195,960","1,420,692","968,167","1,133,548","572,059","592,431","440,161","57,771","4,776,263","670,805","654,639","869,661","773,310","821,563","1,150,669","1,339,606","244,973"
2014년11월,세대수,"20,702,623","4,195,300","1,421,185","969,415","1,135,047","572,998","592,500","441,762","59,807","4,781,545","671,682","655,495","870,564","773,990","822,302","1,151,536","1,341,782","245,713"
2014년12월,세대수,"20,724,094","4,194,176","1,421,648","970,618","1,136,280","573,043","592,508","442,250","62,807","4,786,718","673,978","656,321","871,459","774,562","823,667","1,153,559","1,343,984","246,516"
2015년01월,세대수,"20,740,958","4,196,435","1,422,500","971,407","1,137,515","573,780","593,049","443,134","64,643","4,790,844","673,811","656,801","872,450","774,902","823,347","1,153,711","1,345,576","247,053"
2015년02월,세대수,"20,772,167","4,201,451","1,424,605","973,010","1,138,893","574,766","593,926","443,806","67,187","4,799,046","674,035","657,940","873,322","775,805","823,927","1,155,068","1,347,529","247,851"
2015년03월,세대수,"20,801,104","4,202,812","1,425,630","974,079","1,140,542","575,879","594,388","445,153","68,987","4,807,275","675,522","659,567","874,928","776,516","824,957","1,156,132","1,349,972","248,765"
2015년04월,세대수,"20,821,017","4,200,803","1,426,601","975,002","1,141,851","576,988","594,606","446,056","70,344","4,813,561","676,839","660,866","876,141","776,997","825,521","1,156,938","1,352,218","249,685"
2015년05월,세대수,"20,844,274","4,199,356","1,428,115","976,576","1,143,404","577,428","594,811","446,572","71,570","4,821,745","678,390","662,079","877,228","777,764","826,124","1,158,048","1,354,492","250,572"
2015년06월,세대수,"20,870,280","4,197,478","1,430,441","977,714","1,145,232","577,941","595,216","447,229","72,733","4,829,521","680,373","664,186","878,544","778,350","827,264","1,160,150","1,356,430","251,478"
2015년07월,세대수,"20,892,349","4,196,515","1,432,723","978,719","1,146,895","578,360","595,692","447,789","74,191","4,836,786","681,188","664,809","879,221","778,972","828,290","1,161,940","1,357,763","252,496"
2015년08월,세대수,"20,916,461","4,196,071","1,434,025","979,556","1,148,532","579,012","596,046","448,384","75,849","4,846,467","681,440","665,376","880,885","779,607","829,036","1,163,458","1,359,392","253,325"
2015년09월,세대수,"20,940,559","4,195,438","1,434,668","980,589","1,149,918","579,646","596,471","448,968","77,316","4,856,337","682,501","666,078","881,841","780,438","830,007","1,164,683","1,361,390","254,270"
2015년10월,세대수,"20,967,469","4,194,103","1,435,812","981,517","1,151,528","579,861","596,840","450,705","78,835","4,866,246","683,868","667,449","883,134","781,405","831,372","1,166,062","1,363,443","255,289"
2015년11월,세대수,"20,988,782","4,192,412","1,436,851","981,816","1,152,662","580,347","596,962","451,621","80,222","4,875,733","684,390","668,138","884,328","782,251","831,984","1,167,936","1,365,053","256,076"
2015년12월,세대수,"21,011,152","4,189,948","1,437,818","982,360","1,154,004","580,427","597,008","451,688","81,806","4,885,012","685,005","669,503","885,968","782,986","833,901","1,169,648","1,367,142","256,928"
2016년01월,세대수,"21,026,847","4,190,415","1,438,704","983,114","1,154,780","580,921","597,529","452,104","83,357","4,891,903","685,049","669,809","886,646","783,137","833,626","1,169,682","1,368,537","257,534"
2016년02월,세대수,"21,057,262","4,193,517","1,440,354","984,228","1,156,103","581,429","599,010","452,603","85,048","4,901,579","685,109","670,655","888,314","784,072","834,499","1,171,457","1,370,732","258,553"
2016년03월,세대수,"21,084,550","4,194,485","1,442,013","985,155","1,157,568","582,107","599,751","452,988","86,302","4,910,886","685,893","671,877","889,500","784,756","835,935","1,173,012","1,372,634","259,688"
2016년04월,세대수,"21,104,857","4,193,887","1,443,215","985,801","1,159,109","582,731","600,185","453,256","87,157","4,918,017","687,027","673,166","890,469","785,172","836,425","1,173,932","1,374,460","260,848"
2016년05월,세대수,"21,130,317","4,193,473","1,444,666","986,568","1,161,005","583,621","600,754","453,640","88,256","4,928,079","687,353","674,425","892,166","785,838","837,396","1,175,135","1,376,045","261,897"
2016년06월,세대수,"21,153,853","4,193,712","1,445,614","987,531","1,162,725","584,218","601,356","453,982","89,204","4,937,454","688,354","675,264","893,684","786,489","838,125","1,176,023","1,377,458","262,660"
2016년07월,세대수,"21,173,397","4,192,776","1,446,165","988,639","1,164,597","584,679","602,065","454,235","89,848","4,947,194","688,539","676,000","894,529","786,874","838,528","1,176,719","1,378,456","263,554"
2016년08월,세대수,"21,192,974","4,191,784","1,446,943","989,966","1,166,089","585,038","602,899","454,409","90,537","4,957,788","688,816","676,658","895,543","787,155","838,643","1,177,080","1,379,312","264,314"
2016년09월,세대수,"21,214,428","4,191,411","1,447,601","991,084","1,167,574","585,499","603,565","454,631","91,093","4,968,547","689,476","677,457","896,927","787,595","838,961","1,177,666","1,380,336","265,005"
2016년10월,세대수,"21,241,538","4,191,313","1,448,657","992,240","1,169,208","585,972","604,251","454,982","91,955","4,980,827","690,820","678,407","898,365","788,207","840,028","1,178,555","1,382,070","265,681"
2016년11월,세대수,"21,267,187","4,190,260","1,449,892","993,116","1,170,416","586,281","605,178","455,271","93,096","4,992,605","691,533","679,666","900,161","789,038","841,020","1,179,745","1,383,578","266,331"
2016년12월,세대수,"21,294,009","4,189,839","1,451,270","994,220","1,171,399","586,464","606,137","455,352","94,343","5,003,406","692,254","680,960","902,294","790,084","842,688","1,180,643","1,385,684","266,972"
2017년01월,세대수,"21,312,864","4,192,985","1,452,162","995,376","1,172,392","586,957","607,090","455,430","95,032","5,010,895","691,762","681,465","903,457","790,185","842,479","1,180,808","1,386,779","267,610"
2017년02월,세대수,"21,352,287","4,200,761","1,454,891","997,275","1,174,178","587,518","608,763","455,624","95,975","5,022,352","692,316","682,752","905,985","791,101","843,198","1,182,192","1,388,737","268,669"
2017년03월,세대수,"21,381,346","4,202,888","1,456,356","998,249","1,175,439","588,121","609,447","455,783","97,360","5,032,867","693,540","683,554","908,426","792,143","844,186","1,183,148","1,390,263","269,576"
2017년04월,세대수,"21,402,062","4,203,957","1,457,360","998,756","1,176,610","588,354","609,963","455,975","98,597","5,040,279","694,240","684,619","910,095","792,787","845,184","1,183,730","1,391,202","270,354"
2017년05월,세대수,"21,429,935","4,207,393","1,459,062","999,571","1,178,143","588,810","610,436","456,174","100,596","5,049,758","694,977","685,528","911,612","793,536","845,907","1,184,235","1,392,902","271,295"
2017년06월,세대수,"21,455,795","4,210,933","1,460,244","1,000,396","1,179,716","589,232","610,915","456,402","102,259","5,058,506","695,774","686,253","913,353","794,041","846,279","1,184,831","1,394,759","271,902"
2017년07월,세대수,"21,482,219","4,213,667","1,462,269","1,001,312","1,181,162","589,706","611,746","456,655","103,442","5,067,741","695,886","687,053","914,926","794,540","846,841","1,185,638","1,396,666","272,969"
2017년08월,세대수,"21,514,559","4,217,954","1,464,626","1,002,305","1,182,564","590,485","612,740","456,770","104,742","5,079,932","696,242","687,749","916,834","795,001","847,095","1,187,077","1,398,310","274,133"
2017년09월,세대수,"21,544,772","4,219,001","1,466,181","1,003,058","1,183,886","591,238","613,372","457,001","105,677","5,093,580","697,109","688,650","918,504","795,723","847,644","1,188,727","1,400,099","275,322"
2017년10월,세대수,"21,570,895","4,219,562","1,466,384","1,004,083","1,185,385","591,805","613,864","457,607","106,858","5,105,103","697,784","689,392","920,129","796,206","848,387","1,190,021","1,401,914","276,411"
2017년11월,세대수,"21,599,577","4,219,280","1,466,889","1,005,244","1,186,930","592,495","614,201","457,950","108,102","5,117,958","699,165","690,667","921,810","796,767","849,356","1,191,584","1,403,764","277,415"
2017년12월,세대수,"21,632,851","4,220,082","1,467,555","1,006,753","1,188,917","592,818","614,639","458,547","109,490","5,131,379","700,265","692,140","923,499","797,916","851,376","1,193,261","1,406,011","278,203"
2018년01월,세대수,"21,662,900","4,224,387","1,468,069","1,008,158","1,191,418","593,739","615,642","458,894","110,573","5,145,099","699,946","692,679","924,730","798,121","851,587","1,193,620","1,407,283","278,955"
2018년02월,세대수,"21,703,524","4,231,130","1,470,058","1,009,865","1,193,780","594,453","616,462","459,342","112,343","5,160,661","699,862","694,078","926,536","798,990","852,086","1,194,668","1,409,393","279,817"
2018년03월,세대수,"21,745,437","4,237,610","1,471,933","1,010,995","1,195,636","595,079","617,219","459,655","113,853","5,176,163","701,246","695,818","928,944","800,209","853,259","1,195,846","1,411,062","280,910"
2018년04월,세대수,"21,777,777","4,239,848","1,472,729","1,012,012","1,197,713","595,477","617,757","459,902","115,640","5,189,382","701,923","697,265","930,885","801,270","854,494","1,197,217","1,412,595","281,668"
2018년05월,세대수,"21,804,246","4,240,628","1,473,233","1,013,144","1,199,382","595,819","618,339","460,046","116,639","5,202,326","702,550","698,422","932,215","801,778","854,877","1,198,184","1,414,108","282,556"
2018년06월,세대수,"21,825,601","4,241,547","1,473,448","1,014,303","1,200,814","596,150","619,181","460,076","117,734","5,212,883","702,977","698,885","933,282","801,912","854,826","1,198,759","1,415,520","283,304"
2018년07월,세대수,"21,853,371","4,243,687","1,474,088","1,015,395","1,202,183","597,143","620,418","460,206","118,722","5,225,673","703,204","699,892","934,767","802,215","855,064","1,199,503","1,417,130","284,081"
2018년08월,세대수,"21,895,153","4,249,335","1,475,668","1,016,552","1,204,048","598,494","621,746","460,572","120,102","5,242,680","704,014","701,080","936,876","803,152","855,797","1,200,955","1,419,175","284,907"
2018년09월,세대수,"21,930,578","4,254,018","1,477,190","1,017,785","1,205,783","599,749","622,579","460,772","121,310","5,257,306","704,997","702,050","938,500","803,963","856,419","1,202,250","1,420,440","285,467"
2018년10월,세대수,"21,972,704","4,258,518","1,478,697","1,019,055","1,208,430","601,251","623,363","461,024","122,394","5,275,515","705,732","703,916","940,235","804,806","857,403","1,203,754","1,422,330","286,281"
2018년11월,세대수,"22,006,919","4,260,463","1,479,534","1,019,972","1,210,643","602,298","624,296","461,311","123,046","5,291,257","706,551","705,471","941,983","805,533","858,513","1,205,485","1,423,767","286,796"
2018년12월,세대수,"22,042,947","4,263,868","1,480,468","1,021,266","1,213,201","603,107","624,965","461,756","123,762","5,306,214","707,245","707,220","943,611","806,235","860,303","1,207,351","1,425,271","287,104"
2019년01월,세대수,"22,081,397","4,271,551","1,481,315","1,022,727","1,216,126","604,691","626,103","462,218","124,840","5,320,873","707,665","708,227","945,151","806,761","860,049","1,208,140","1,427,384","287,576"
2019년02월,세대수,"22,131,431","4,283,150","1,483,699","1,023,970","1,218,462","605,981","627,893","462,929","126,337","5,336,962","708,411","709,629","947,045","807,816","860,700","1,210,049","1,430,255","288,143"
2019년03월,세대수,"22,175,371","4,290,922","1,485,852","1,024,813","1,220,608","607,007","629,084","463,628","127,487","5,350,353","709,842","711,096","949,061","808,836","862,054","1,212,567","1,433,278","288,883"
2019년04월,세대수,"22,212,339","4,296,066","1,487,469","1,025,515","1,222,515","608,121","629,623","464,318","128,330","5,363,723","711,520","712,948","950,286","809,767","863,206","1,214,251","1,435,197","289,484"
2019년05월,세대수,"22,253,218","4,301,522","1,489,073","1,026,813","1,225,024","609,584","630,429","465,046","129,052","5,378,654","712,734","714,536","951,651","810,821","864,374","1,216,294","1,437,460","290,151"
2019년06월,세대수,"22,281,663","4,304,243","1,490,226","1,027,230","1,226,531","610,567","630,835","465,588","129,937","5,390,454","713,646","715,349","952,921","811,190","865,178","1,218,084","1,439,063","290,621"
2019년07월,세대수,"22,314,013","4,308,300","1,491,205","1,027,763","1,228,176","611,937","631,528","466,091","131,110","5,404,604","714,293","716,157","953,923","811,872","865,635","1,219,204","1,441,042","291,173"
