기간	컬럼1	컬럼2	성별	구분	구분	구분	구분	구분	구분	구분	구분
2007	중구	소공동	여자	383	265	17	24	288	196	78	45
2007	중구	회현동	계	947	1,092	65	85	595	656	287	351
2007	중구	회현동	남자	585	641	37	50	362	385	186	206
2007	중구	회현동	여자	362	451	28	35	233	271	101	145
2007	중구	명동	계	590	746	51	84	332	401	207	261
2007	중구	명동	남자	306	378	21	41	167	220	118	117
2007	중구	명동	여자	284	368	30	43	165	181	89	144
2007	중구	필동	계	1,112	1,142	161	205	545	565	406	372
2007	중구	필동	남자	622	628	84	110	305	304	233	214
2007	중구	필동	여자	490	514	77	95	240	261	173	158
2007	중구	장충동	계	1,391	1,492	284	323	476	665	631	504
2007	중구	장충동	남자	728	751	153	162	234	333	341	256
2007	중구	장충동	여자	663	741	131	161	242	332	290	248
2007	중구	광희동	계	1,161	1,200	237	260	553	583	371	357
2007	중구	광희동	남자	640	637	129	134	304	318	207	185
2007	중구	광희동	여자	521	563	108	126	249	265	164	172
2007	중구	을지로동	계	594	520	58	54	326	273	210	193
2007	중구	을지로동	남자	378	313	37	35	208	165	133	113
2007	중구	을지로동	여자	216	207	21	19	118	108	77	80
2007	중구	신당1동	계	1,663	1,785	432	443	721	854	510	488
2007	중구	신당1동	남자	864	919	223	219	369	442	272	258
2007	중구	신당1동	여자	799	866	209	224	352	412	238	230
2007	중구	신당2동	계	3,354	3,608	719	803	1,636	1,702	999	1,103
2007	중구	신당2동	남자	1,610	1,750	354	409	772	828	484	513
2007	중구	신당2동	여자	1,744	1,858	365	394	864	874	515	590
2007	중구	신당3동	계	3,405	3,546	571	478	1,843	1,963	991	1,105
2007	중구	신당3동	남자	1,654	1,765	286	240	870	982	498	543
2007	중구	신당3동	여자	1,751	1,781	285	238	973	981	493	562
2007	중구	신당4동	계	2,832	3,024	705	577	1,411	1,640	716	807
2007	중구	신당4동	남자	1,378	1,477	339	278	688	791	351	408
2007	중구	신당4동	여자	1,454	1,547	366	299	723	849	365	399
2007	중구	신당5동	계	1,940	2,119	546	550	954	1,074	440	495
2007	중구	신당5동	남자	987	1,029	267	262	493	515	227	252
2007	중구	신당5동	여자	953	1,090	279	288	461	559	213	243
2007	중구	신당6동	계	2,348	2,308	754	623	1,048	1,119	546	566
2007	중구	신당6동	남자	1,118	1,121	358	305	501	525	259	291
2007	중구	신당6동	여자	1,230	1,187	396	318	547	594	287	275
2007	중구	황학동	계	1,256	1,548	202	319	627	845	427	384
2007	중구	황학동	남자	647	793	98	154	336	426	213	213
2007	중구	황학동	여자	609	755	104	165	291	419	214	171
2007	중구	중림동	계	2,571	2,602	85	73	1,781	1,788	705	741
2007	중구	중림동	남자	1,221	1,327	41	42	815	883	365	402
2007	중구	중림동	여자	1,350	1,275	44	31	966	905	340	339
2007	용산구	소계	계	52,200	49,800	12,353	12,353	23,516	22,294	16,331	15,153
2007	용산구	소계	남자	25,929	24,801	6,052	6,052	11,746	11,213	8,131	7,536
2007	용산구	소계	여자	26,271	24,999	6,301	6,301	11,770	11,081	8,200	7,617
2007	용산구	후암동	계	4,419	3,776	1,060	839	2,028	1,767	1,331	1,170
2007	용산구	후암동	남자	2,233	1,934	535	431	1,012	919	686	584
2007	용산구	후암동	여자	2,186	1,842	525	408	1,016	848	645	586
2007	용산구	용산2가동	계	2,191	2,415	551	610	933	1,046	707	759
2007	용산구	용산2가동	남자	1,054	1,177	268	273	473	530	313	374
2007	용산구	용산2가동	여자	1,137	1,238	283	337	460	516	394	385
2007	용산구	남영동	계	2,293	2,150	477	527	1,016	1,003	800	620
2007	용산구	남영동	남자	1,407	1,268	269	291	631	614	507	363
2007	용산구	남영동	여자	886	882	208	236	385	389	293	257
2007	용산구	청파1동	계	3,362	3,532	530	554	1,765	1,977	1,067	1,001
2007	용산구	청파1동	남자	1,751	1,770	279	271	918	985	554	514
2007	용산구	청파1동	여자	1,611	1,762	251	283	847	992	513	487
2007	용산구	청파2동	계	2,209	2,241	523	553	674	902	1,012	786
2007	용산구	청파2동	남자	1,053	1,047	281	273	348	426	424	348
2007	용산구	청파2동	여자	1,156	1,194	242	280	326	476	588	438
2007	용산구	원효로1동	계	1,701	1,822	614	624	542	668	545	530
2007	용산구	원효로1동	남자	880	944	303	315	299	368	278	261
2007	용산구	원효로1동	여자	821	878	311	309	243	300	267	269
2007	용산구	원효로2동	계	3,286	3,374	907	797	1,452	1,552	927	1,025
2007	용산구	원효로2동	남자	1,552	1,633	434	379	662	756	456	498
2007	용산구	원효로2동	여자	1,734	1,741	473	418	790	796	471	527
2007	용산구	효창동	계	2,270	2,389	785	706	915	998	570	685
2007	용산구	효창동	남자	1,088	1,184	356	342	445	494	287	348
2007	용산구	효창동	여자	1,182	1,205	429	364	470	504	283	337
2007	용산구	용문동	계	2,301	2,753	782	879	892	1,196	627	678
2007	용산구	용문동	남자	1,114	1,370	391	439	426	603	297	328
2007	용산구	용문동	여자	1,187	1,383	391	440	466	593	330	350
2007	용산구	한강로1동	계	2,862	1,995	533	675	1,628	862	701	458
2007	용산구	한강로1동	남자	1,456	1,004	269	343	823	444	364	217
2007	용산구	한강로1동	여자	1,406	991	264	332	805	418	337	241
2007	용산구	한강로2동	계	1,537	1,229	382	330	689	562	466	337
2007	용산구	한강로2동	남자	812	649	201	174	367	300	244	175
2007	용산구	한강로2동	여자	725	580	181	156	322	262	222	162
2007	용산구	한강로3동	계	2,097	1,322	479	374	1,029	567	589	381
2007	용산구	한강로3동	남자	1,059	719	244	198	520	313	295	208
2007	용산구	한강로3동	여자	1,038	603	235	176	509	254	294	173
2007	용산구	이촌1동	계	4,236	4,294	818	971	2,302	2,178	1,116	1,145
2007	용산구	이촌1동	남자	1,981	2,019	378	436	1,115	1,049	488	534
2007	용산구	이촌1동	여자	2,255	2,275	440	535	1,187	1,129	628	611
2007	용산구	이촌2동	계	2,504	2,040	644	607	1,115	837	745	596
2007	용산구	이촌2동	남자	1,178	1,007	286	302	523	413	369	292
2007	용산구	이촌2동	여자	1,326	1,033	358	305	592	424	376	304
2007	용산구	이태원1동	계	1,978	1,847	486	597	872	709	620	541
2007	용산구	이태원1동	남자	978	898	217	285	440	354	321	259
2007	용산구	이태원1동	여자	1,000	949	269	312	432	355	299	282
2007	용산구	이태원2동	계	2,017	1,927	425	451	907	804	685	672
2007	용산구	이태원2동	남자	938	912	191	201	413	382	334	329
2007	용산구	이태원2동	여자	1,079	1,015	234	250	494	422	351	343
2007	용산구	한남1동	계	3,024	2,934	462	440	1,454	1,340	1,108	1,154
2007	용산구	한남1동	남자	1,491	1,506	224	212	703	679	564	615
2007	용산구	한남1동	여자	1,533	1,428	238	228	751	661	544	539
2007	용산구	한남2동	계	2,321	2,189	528	553	1,048	919	745	717
2007	용산구	한남2동	남자	1,123	1,050	266	270	488	432	369	348
2007	용산구	한남2동	여자	1,198	1,139	262	283	560	487	376	369
2007	용산구	서빙고동	계	2,033	1,854	543	465	811	777	679	612
2007	용산구	서빙고동	남자	1,022	924	266	215	410	398	346	311
2007	용산구	서빙고동	여자	1,011	930	277	250	401	379	333	301
2007	용산구	보광동	계	3,559	3,717	824	801	1,444	1,630	1,291	1,286
2007	용산구	보광동	남자	1,759	1,786	394	402	730	754	635	630
2007	용산구	보광동	여자	1,800	1,931	430	399	714	876	656	656
2007	성동구	소계	계	61,098	64,526	15,072	15,072	28,005	30,290	18,021	19,164
2007	성동구	소계	남자	30,940	32,511	7,426	7,426	14,123	15,266	9,391	9,819
2007	성동구	소계	여자	30,158	32,015	7,646	7,646	13,882	15,024	8,630	9,345
2007	성동구	왕십리1동	계	1,779	2,172	319	409	917	1,143	543	620
2007	성동구	왕십리1동	남자	907	1,102	162	207	471	590	274	305
2007	성동구	왕십리1동	여자	872	1,070	157	202	446	553	269	315
2007	성동구	왕십리2동	계	3,485	3,758	1,008	988	1,559	1,713	918	1,057
2007	성동구	왕십리2동	남자	1,728	1,901	491	471	779	908	458	522
2007	성동구	왕십리2동	여자	1,757	1,857	517	517	780	805	460	535
2007	성동구	도선동	계	1,808	1,799	615	613	743	729	450	457
2007	성동구	도선동	남자	881	848	300	292	350	325	231	231
2007	성동구	도선동	여자	927	951	315	321	393	404	219	226
2007	성동구	마장동	계	4,304	4,297	1,161	826	1,878	2,163	1,265	1,308
2007	성동구	마장동	남자	2,195	2,181	576	398	959	1,111	660	672
2007	성동구	마장동	여자	2,109	2,116	585	428	919	1,052	605	636
2007	성동구	사근동	계	2,466	2,626	399	588	681	1,030	1,386	1,008
2007	성동구	사근동	남자	1,432	1,504	211	326	378	548	843	630
2007	성동구	사근동	여자	1,034	1,122	188	262	303	482	543	378
2007	성동구	행당1동	계	3,618	3,676	1,248	1,006	1,321	1,494	1,049	1,176
2007	성동구	행당1동	남자	1,767	1,856	583	495	650	763	534	598
2007	성동구	행당1동	여자	1,851	1,820	665	511	671	731	515	578
2007	성동구	행당2동	계	3,959	5,091	1,044	1,407	1,806	2,443	1,109	1,241
2007	성동구	행당2동	남자	1,864	2,416	491	645	856	1,178	517	593
2007	성동구	행당2동	여자	2,095	2,675	553	762	950	1,265	592	648
2007	성동구	응봉동	계	3,109	3,429	880	953	1,487	1,551	742	925
2007	성동구	응봉동	남자	1,441	1,673	408	455	691	766	342	452
2007	성동구	응봉동	여자	1,668	1,756	472	498	796	785	400	473
2007	성동구	금호1가동	계	3,107	3,322	1,083	1,045	1,286	1,409	738	868
2007	성동구	금호1가동	남자	1,485	1,606	535	495	596	676	354	435
2007	성동구	금호1가동	여자	1,622	1,716	548	550	690	733	384	433
2007	성동구	금호2가동	계	1,917	2,061	617	640	755	802	545	619
2007	성동구	금호2가동	남자	948	1,004	303	323	371	379	274	302
2007	성동구	금호2가동	여자	969	1,057	314	317	384	423	271	317
2007	성동구	금호3가동	계	2,968	3,302	846	1,055	1,308	1,360	814	887
2007	성동구	금호3가동	남자	1,417	1,573	402	507	621	646	394	420
2007	성동구	금호3가동	여자	1,551	1,729	444	548	687	714	420	467
2007	성동구	금호4가동	계	4,620	2,686	1,282	721	2,321	1,189	1,017	776
2007	성동구	금호4가동	남자	2,284	1,279	617	341	1,178	564	489	374
2007	성동구	금호4가동	여자	2,336	1,407	665	380	1,143	625	528	402
2007	성동구	옥수1동	계	1,558	1,793	320	451	679	734	559	608
2007	성동구	옥수1동	남자	832	909	164	214	363	370	305	325
2007	성동구	옥수1동	여자	726	884	156	237	316	364	254	283
2007	성동구	옥수2동	계	2,964	3,282	319	516	1,738	1,770	907	996
2007	성동구	옥수2동	남자	1,386	1,568	142	261	803	853	441	454
2007	성동구	옥수2동	여자	1,578	1,714	177	255	935	917	466	542
2007	성동구	성수1가1동	계	3,638	4,051	1,102	1,052	1,444	1,803	1,092	1,196
2007	성동구	성수1가1동	남자	1,839	2,123	552	539	733	957	554	627
2007	성동구	성수1가1동	여자	1,799	1,928	550	513	711	846	538	569
2007	성동구	성수1가2동	계	4,063	4,405	927	972	1,820	2,071	1,316	1,362
2007	성동구	성수1가2동	남자	2,097	2,313	466	499	916	1,062	715	752
2007	성동구	성수1가2동	여자	1,966	2,092	461	473	904	1,009	601	610
2007	성동구	성수2가1동	계	3,706	3,891	787	742	1,789	1,768	1,130	1,381
2007	성동구	성수2가1동	남자	2,030	2,051	412	398	964	918	654	735
2007	성동구	성수2가1동	여자	1,676	1,840	375	344	825	850	476	646
2007	성동구	성수2가3동	계	2,597	3,036	548	620	1,249	1,577	800	839
2007	성동구	성수2가3동	남자	1,361	1,555	285	337	667	781	409	437
2007	성동구	성수2가3동	여자	1,236	1,481	263	283	582	796	391	402
2007	성동구	송정동	계	2,343	2,679	288	258	1,361	1,650	694	771
2007	성동구	송정동	남자	1,246	1,359	174	117	698	843	374	399
2007	성동구	송정동	여자	1,097	1,320	114	141	663	807	320	372
2007	성동구	용답동	계	3,089	3,170	279	210	1,863	1,891	947	1,069
2007	성동구	용답동	남자	1,800	1,690	152	106	1,079	1,028	569	556
2007	성동구	용답동	여자	1,289	1,480	127	104	784	863	378	513
2007	광진구	소계	계	80,713	81,438	23,506	23,506	32,052	32,016	25,155	25,916
2007	광진구	소계	남자	39,713	40,398	11,458	11,458	15,965	15,911	12,290	13,029
2007	광진구	소계	여자	41,000	41,040	12,048	12,048	16,087	16,105	12,865	12,887
2007	광진구	화양동	계	5,849	6,396	848	1,347	2,153	2,842	2,848	2,207
2007	광진구	화양동	남자	3,017	3,251	425	671	1,105	1,414	1,487	1,166
2007	광진구	화양동	여자	2,832	3,145	423	676	1,048	1,428	1,361	1,041
2007	광진구	군자동	계	4,501	4,792	934	1,113	1,942	2,069	1,625	1,610
2007	광진구	군자동	남자	2,288	2,451	453	538	978	1,055	857	858
2007	광진구	군자동	여자	2,213	2,341	481	575	964	1,014	768	752
2007	광진구	중곡1동	계	4,045	4,293	1,293	1,424	1,661	1,646	1,091	1,223
2007	광진구	중곡1동	남자	2,009	2,185	640	712	814	845	555	628
2007	광진구	중곡1동	여자	2,036	2,108	653	712	847	801	536	595
2007	광진구	중곡2동	계	5,054	5,397	1,935	1,789	1,815	2,062	1,304	1,546
2007	광진구	중곡2동	남자	2,448	2,669	919	903	913	997	616	769
2007	광진구	중곡2동	여자	2,606	2,728	1,016	886	902	1,065	688	777
2007	광진구	중곡3동	계	4,240	4,460	1,259	1,246	1,931	2,057	1,050	1,157
2007	광진구	중곡3동	남자	2,078	2,248	615	618	960	1,047	503	583
2007	광진구	중곡3동	여자	2,162	2,212	644	628	971	1,010	547	574
2007	광진구	중곡4동	계	6,384	7,010	2,378	2,047	2,479	2,791	1,527	2,172
2007	광진구	중곡4동	남자	3,136	3,384	1,204	944	1,213	1,345	719	1,095
2007	광진구	중곡4동	여자	3,248	3,626	1,174	1,103	1,266	1,446	808	1,077
2007	광진구	능동	계	2,822	2,884	779	915	1,107	1,065	936	904
2007	광진구	능동	남자	1,367	1,368	378	449	538	483	451	436
2007	광진구	능동	여자	1,455	1,516	401	466	569	582	485	468
2007	광진구	광장동	계	5,757	5,592	1,244	1,188	2,544	2,579	1,969	1,825
2007	광진구	광장동	남자	2,774	2,765	605	590	1,237	1,281	932	894
2007	광진구	광장동	여자	2,983	2,827	639	598	1,307	1,298	1,037	931
2007	광진구	자양1동	계	5,491	5,967	1,900	2,034	1,808	1,990	1,783	1,943
2007	광진구	자양1동	남자	2,723	2,905	953	971	916	997	854	937
2007	광진구	자양1동	여자	2,768	3,062	947	1,063	892	993	929	1,006
2007	광진구	자양2동	계	5,236	5,681	1,842	1,740	1,784	1,998	1,610	1,943
2007	광진구	자양2동	남자	2,600	2,856	928	859	915	1,052	757	945
2007	광진구	자양2동	여자	2,636	2,825	914	881	869	946	853	998
2007	광진구	자양3동	계	8,844	5,990	2,250	1,914	4,378	2,275	2,216	1,801
2007	광진구	자양3동	남자	4,360	3,022	1,103	945	2,168	1,144	1,089	933
2007	광진구	자양3동	여자	4,484	2,968	1,147	969	2,210	1,131	1,127	868
2007	광진구	노유1동	계	2,810	2,977	766	985	1,008	1,080	1,036	912
2007	광진구	노유1동	남자	1,374	1,490	374	468	504	552	496	470
2007	광진구	노유1동	여자	1,436	1,487	392	517	504	528	540	442
2007	광진구	노유2동	계	3,354	2,867	1,065	1,016	1,343	1,068	946	783
2007	광진구	노유2동	남자	1,661	1,456	502	501	669	554	490	401
2007	광진구	노유2동	여자	1,693	1,411	563	515	674	514	456	382
2007	광진구	구의1동	계	5,368	5,733	1,529	1,599	1,899	2,130	1,940	2,004
2007	광진구	구의1동	남자	2,577	2,761	704	764	946	1,018	927	979
2007	광진구	구의1동	여자	2,791	2,972	825	835	953	1,112	1,013	1,025
2007	광진구	구의2동	계	5,178	5,410	1,850	1,635	1,909	1,989	1,419	1,786
2007	광진구	구의2동	남자	2,505	2,666	869	807	949	975	687	884
2007	광진구	구의2동	여자	2,673	2,744	981	828	960	1,014	732	902
2007	광진구	구의3동	계	5,780	5,989	1,634	1,514	2,291	2,375	1,855	2,100
2007	광진구	구의3동	남자	2,796	2,921	786	718	1,140	1,152	870	1,051
2007	광진구	구의3동	여자	2,984	3,068	848	796	1,151	1,223	985	1,049
2007	동대문구	소계	계	77,895	82,022	26,227	26,227	29,953	32,095	21,715	23,700
2007	동대문구	소계	남자	39,691	41,759	13,133	13,133	15,289	16,351	11,269	12,275
2007	동대문구	소계	여자	38,204	40,263	13,094	13,094	14,664	15,744	10,446	11,425
2007	동대문구	신설동	계	2,219	1,969	454	323	1,154	1,059	611	587
2007	동대문구	신설동	남자	1,231	1,121	251	175	630	589	350	357
2007	동대문구	신설동	여자	988	848	203	148	524	470	261	230
2007	동대문구	용두1동	계	1,460	3,547	335	1,447	626	1,303	499	797
2007	동대문구	용두1동	남자	773	1,850	183	752	325	692	265	406
2007	동대문구	용두1동	여자	687	1,697	152	695	301	611	234	391
2007	동대문구	용두2동	계	2,362	2,511	685	541	983	1,229	694	741
2007	동대문구	용두2동	남자	1,237	1,319	348	289	520	637	369	393
2007	동대문구	용두2동	여자	1,125	1,192	337	252	463	592	325	348
2007	동대문구	제기1동	계	2,614	2,936	776	851	1,107	1,255	731	830
2007	동대문구	제기1동	남자	1,393	1,526	413	437	593	630	387	459
2007	동대문구	제기1동	여자	1,221	1,410	363	414	514	625	344	371
2007	동대문구	제기2동	계	3,254	3,596	782	737	1,314	1,741	1,158	1,118
2007	동대문구	제기2동	남자	1,712	1,909	377	386	697	894	638	629
2007	동대문구	제기2동	여자	1,542	1,687	405	351	617	847	520	489
2007	동대문구	전농1동	계	2,426	2,534	1,143	915	745	931	538	688
2007	동대문구	전농1동	남자	1,262	1,283	592	454	386	477	284	352
2007	동대문구	전농1동	여자	1,164	1,251	551	461	359	454	254	336
2007	동대문구	전농2동	계	1,832	1,758	744	618	512	573	576	567
2007	동대문구	전농2동	남자	1,035	947	381	305	298	326	356	316
2007	동대문구	전농2동	여자	797	811	363	313	214	247	220	251
2007	동대문구	전농3동	계	2,873	4,807	1,151	2,270	1,049	1,534	673	1,003
2007	동대문구	전농3동	남자	1,398	2,336	574	1,112	499	724	325	500
2007	동대문구	전농3동	여자	1,475	2,471	577	1,158	550	810	348	503
2007	동대문구	전농4동	계	2,394	2,449	1,134	960	705	762	555	727
2007	동대문구	전농4동	남자	1,269	1,256	587	493	374	391	308	372
2007	동대문구	전농4동	여자	1,125	1,193	547	467	331	371	247	355
2007	동대문구	답십리1동	계	2,010	1,948	846	764	682	653	482	531
2007	동대문구	답십리1동	남자	1,027	999	440	398	352	325	235	276
2007	동대문구	답십리1동	여자	983	949	406	366	330	328	247	255
2007	동대문구	답십리2동	계	2,770	2,933	1,194	1,116	1,052	1,068	524	749
2007	동대문구	답십리2동	남자	1,378	1,500	598	572	522	553	258	375
2007	동대문구	답십리2동	여자	1,392	1,433	596	544	530	515	266	374
2007	동대문구	답십리3동	계	837	2,106	320	921	316	729	201	456
2007	동대문구	답십리3동	남자	429	1,061	171	466	163	369	95	226
2007	동대문구	답십리3동	여자	408	1,045	149	455	153	360	106	230
2007	동대문구	답십리4동	계	2,676	2,924	1,147	1,239	944	981	585	704
2007	동대문구	답십리4동	남자	1,354	1,497	572	613	493	505	289	379
2007	동대문구	답십리4동	여자	1,322	1,427	575	626	451	476	296	325
2007	동대문구	답십리5동	계	2,111	2,132	640	599	904	1,000	567	533
2007	동대문구	답십리5동	남자	1,100	1,095	338	306	475	522	287	267
2007	동대문구	답십리5동	여자	1,011	1,037	302	293	429	478	280	266
2007	동대문구	장안1동	계	3,781	4,010	1,263	1,324	1,526	1,498	992	1,188
2007	동대문구	장안1동	남자	1,940	2,074	652	673	785	781	503	620
2007	동대문구	장안1동	여자	1,841	1,936	611	651	741	717	489	568
2007	동대문구	장안2동	계	5,752	3,595	2,019	1,076	2,568	1,537	1,165	982
2007	동대문구	장안2동	남자	2,919	1,826	1,008	543	1,321	766	590	517
2007	동대문구	장안2동	여자	2,833	1,769	1,011	533	1,247	771	575	465
2007	동대문구	장안3동	계	3,881	3,656	1,063	1,106	1,939	1,553	879	997
2007	동대문구	장안3동	남자	1,946	1,890	526	570	982	795	438	525
2007	동대문구	장안3동	여자	1,935	1,766	537	536	957	758	441	472
2007	동대문구	장안4동	계	2,957	3,181	1,289	1,247	965	1,077	703	857
2007	동대문구	장안4동	남자	1,457	1,623	623	635	462	549	372	439
2007	동대문구	장안4동	여자	1,500	1,558	666	612	503	528	331	418
2007	동대문구	청량리1동	계	2,494	2,834	944	887	847	1,082	703	865
2007	동대문구	청량리1동	남자	1,289	1,446	476	445	456	558	357	443
2007	동대문구	청량리1동	여자	1,205	1,388	468	442	391	524	346	422
2007	동대문구	청량리2동	계	1,942	1,989	811	616	684	763	447	610
2007	동대문구	청량리2동	남자	999	1,009	406	297	344	390	249	322
2007	동대문구	청량리2동	여자	943	980	405	319	340	373	198	288
2007	동대문구	회기동	계	3,005	3,270	843	988	884	1,197	1,278	1,085
2007	동대문구	회기동	남자	1,515	1,639	405	457	450	623	660	559
2007	동대문구	회기동	여자	1,490	1,631	438	531	434	574	618	526
2007	동대문구	휘경1동	계	4,251	4,190	1,464	1,164	1,350	1,590	1,437	1,436
2007	동대문구	휘경1동	남자	2,060	2,050	724	572	668	780	668	698
2007	동대문구	휘경1동	여자	2,191	2,140	740	592	682	810	769	738
2007	동대문구	휘경2동	계	5,901	4,997	1,913	1,409	2,313	1,922	1,675	1,666
2007	동대문구	휘경2동	남자	2,935	2,475	910	680	1,112	952	913	843
2007	동대문구	휘경2동	여자	2,966	2,522	1,003	729	1,201	970	762	823
2007	동대문구	이문1동	계	3,306	3,315	1,159	1,010	1,077	1,247	1,070	1,058
2007	동대문구	이문1동	남자	1,609	1,613	554	482	537	614	518	517
2007	동대문구	이문1동	여자	1,697	1,702	605	528	540	633	552	541
2007	동대문구	이문2동	계	4,630	4,860	1,313	1,382	1,524	1,828	1,793	1,650
2007	동대문구	이문2동	남자	2,366	2,471	621	691	776	929	969	851
2007	동대문구	이문2동	여자	2,264	2,389	692	691	748	899	824	799
2007	동대문구	이문3동	계	4,157	3,975	795	717	2,183	1,983	1,179	1,275
2007	동대문구	이문3동	남자	2,058	1,944	403	330	1,069	980	586	634
2007	동대문구	이문3동	여자	2,099	2,031	392	387	1,114	1,003	593	641
2007	중랑구	소계	계	86,931	88,596	33,827	33,827	30,616	27,444	22,488	27,325
2007	중랑구	소계	남자	43,098	43,628	16,620	16,620	15,406	13,515	11,072	13,493
2007	중랑구	소계	여자	43,833	44,968	17,207	17,207	15,210	13,929	11,416	13,832
