주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
311-2-000012,검산제2공영주차장,공영,노외,,전라북도 김제시 검산동 1073-13,54,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.803496,126.904694,2018-02-01,4710000,전라북도 김제시,
311-2-000013,요촌전통시장주차장,공영,노외,,전라북도 김제시 요촌동 416-2 일원,109,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.801609,126.883314,2018-02-01,4710000,전라북도 김제시,
311-2-000014,교동신동 공영주차장,공영,노외,,전라북도 김제시 교동 102 일원,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.7996476,126.879698,2018-02-01,4710000,전라북도 김제시,
311-2-000015,신풍동 공영주차장,공영,노외,,전라북도 김제시 신풍동 184-2 일원,51,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.796692,126.896963,2018-02-01,4710000,전라북도 김제시,
311-2-000016,원평공영주차장,공영,노외,,전라북도 김제시 금산면 원평리 57 일원,42,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.714251,126.992577,2018-02-01,4710000,전라북도 김제시,
311-2-000017,역전 전통시장 주차장,공영,노외,,전라북도 김제시 신풍동 321-2 일원,40,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.793444,126.901239,2018-02-01,4710000,전라북도 김제시,
311-2-000018,요촌동주민센터,공영,노외,,전라북도 김제시 요촌동 598-1,26,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.805402,126.891802,2018-02-01,4710000,전라북도 김제시,
311-2-000019,금만사거리 구도심,공영,노외,,전라북도 김제시 요촌동 182-3번지 일원,33,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.800045,126.888967,2018-02-01,4710000,전라북도 김제시,
311-2-000020,요촌주차장(박애) 확장,공영,노외,,전라북도 김제시 요촌동 211-3,40,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.800431,126.886656,2018-02-01,4710000,전라북도 김제시,
311-2-000005,금만제2공영주차장,공영,노외,,전라북도 김제시 요촌동 193-5,22,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,60,0,,,,,,,,김제시청,063-540-3193,35.799908,126.886658,2018-02-01,4710000,전라북도 김제시,
388-1-000001,양산시노상제1공영주차장,공영,노상,,경상남도 양산시 북부동 493-1 일원 (하나병원-청해대복),27,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.345676,129.035820,2018-07-24,5380000,경상남도 양산시,
388-1-000002,양산시노상제2공영주차장,공영,노상,,경상남도 양산시 북부동 665-13 일원 (경남은행-한사랑예식장),11,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.344334,129.040109,2018-07-24,5380000,경상남도 양산시,
388-1-000003,양산시노상제3공영주차장,공영,노상,,경상남도 양산시 남부동 506 일원 (남부시장앞-푸른세차장),29,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.338119,129.037213,2018-07-24,5380000,경상남도 양산시,
388-1-000004,양산시노상제4공영주차장,공영,노상,,"경상남도 양산시 중부동 433-3 일원 (구,양산터미널 담벼락)",13,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.343787,129.035607,2018-07-24,5380000,경상남도 양산시,
388-1-000005,양산시노상제5공영주차장,공영,노상,,경상남도 양산시 북부동 706 일원 (현대자동차양산지점-전자랜드),17,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.348356,129.038121,2018-07-24,5380000,경상남도 양산시,
388-1-000006,양산시노상제6공영주차장,공영,노상,,경상남도 양산시 북부동 165-5 일원 (일광사-양산호텔-등기소앞),11,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.346528,129.039709,2018-07-24,5380000,경상남도 양산시,
388-1-000007,양산시노상제7공영주차장,공영,노상,,경상남도 양산시 북부동 493-4 일원 (대호초밥-동원회초밥-연합동물병원),18,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.346349,129.037062,2018-07-24,5380000,경상남도 양산시,
388-1-000008,양산시노상제8공영주차장,공영,노상,,경상남도 양산시 북부동 706 일원 (일신학원-신양주2차),14,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.348356,129.038121,2018-07-24,5380000,경상남도 양산시,
388-1-000009,양산시노상제9공영주차장,공영,노상,,경상남도 양산시 북부동 493-5 일원 (양산경찰서(장모님식당)-조방낙지),10,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.345689,129.037539,2018-07-24,5380000,경상남도 양산시,
388-1-000010,양산시노상제10공영주차장,공영,노상,,경상남도 양산시 북부동 707 일원 (제일맨션-스크린게임랜드),29,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.347494,129.038004,2018-07-24,5380000,경상남도 양산시,
388-1-000011,양산시노상제11공영주차장,공영,노상,,경상남도 양산시 북부동 706 일원 (신양주1차-고려강선기숙사),30,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.348356,129.038121,2018-07-24,5380000,경상남도 양산시,
388-1-000012,양산시노상제12공영주차장,공영,노상,,경상남도 양산시 북부동 705 일원 (모텔캐슬-한국기원),5,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.348795,129.038693,2018-07-24,5380000,경상남도 양산시,
388-1-000013,양산시노상제13공영주차장,공영,노상,,경상남도 양산시 북부동 704 일원 (두레뷔페-동양산농협),7,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.349362,129.038728,2018-07-24,5380000,경상남도 양산시,
388-1-000014,양산시노상제14공영주차장,공영,노상,,경상남도 양산시 북부동 704 일원 (자이얀트볼링장-리베모텔),10,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.349362,129.038728,2018-07-24,5380000,경상남도 양산시,
388-1-000015,양산시노상제15공영주차장,공영,노상,,경상남도 양산시 북부동 703 일원 (한빛정보통신-동보식당-프로미세차장),20,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.350399,129.038923,2018-07-24,5380000,경상남도 양산시,
388-1-000016,양산시노상제16공영주차장,공영,노상,,경상남도 양산시 중부동 265-10 일원 (옥천탕-천일한우촌),29,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.343345,129.040722,2018-07-24,5380000,경상남도 양산시,
388-1-000017,양산시노상제17공영주차장,공영,노상,,경상남도 양산시 남부동 506 일원 (기아자동차-암소마당),32,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.338119,129.037213,2018-07-24,5380000,경상남도 양산시,
388-1-000018,양산시노상제18공영주차장,공영,노상,,경상남도 양산시 중부동 568 일원 (등기소-한사랑예식장),10,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.329298,129.025368,2018-07-24,5380000,경상남도 양산시,
388-1-000019,양산시노상제19공영주차장,공영,노상,,경상남도 양산시 중부동 342-5 일원 (SH0W이동통신-한양탕위),9,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.343967,129.039872,2018-07-24,5380000,경상남도 양산시,
388-1-000020,양산시노상제20공영주차장,공영,노상,,경상남도 양산시 남부동 대장금식당 일원 (남부동 대장금식당앞),24,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.340794,129.030977,2018-07-24,5380000,경상남도 양산시,
388-1-000021,양산시노상제21공영주차장,공영,노상,,경상남도 양산시 중부동 금오광고 일원  (중부동엘지정유-금오광고),40,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.349387,129.037578,2018-07-24,5380000,경상남도 양산시,
388-1-000022,양산시노상제22공영주차장,공영,노상,,경상남도 양산시 중부동 408-1 일원 (중부동우체국-KT양산지사),8,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.342994,129.035638,2018-07-24,5380000,경상남도 양산시,
388-1-000023,양산시노상제23공영주차장,공영,노상,,경상남도 양산시 중부동 이랜드 일원 (중부동이랜드-양진석가이면도로),17,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.343222,129.038149,2018-07-24,5380000,경상남도 양산시,
388-1-000024,양산시노상제24공영주차장,공영,노상,,경상남도 양산시 북정동 443-5 일원 (북정택지 농심가마트뒤 일원),25,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.362179,129.048520,2018-07-24,5380000,경상남도 양산시,
388-1-000025,양산시노상제25공영주차장,공영,노상,,경상남도 양산시 북정동 560-6 일원 (북정택지 문구점뒤),10,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.359133,129.046713,2018-07-24,5380000,경상남도 양산시,
388-1-000026,양산시노상제26공영주차장,공영,노상,,경상남도 양산시 교동 157-1 (교동춘추공원입구),10,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.346031,129.028476,2018-07-24,5380000,경상남도 양산시,
388-1-000027,양산시노상제27공영주차장,공영,노상,,경상남도 양산시 어곡동 세목마을 복개도로 일원,30,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,,,2018-07-24,5380000,경상남도 양산시,
388-1-000028,양산시노상제28공영주차장,공영,노상,,경상남도 양산시 어곡동 8-2 일원 (어곡동삼성파크빌아파트입구),26,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.381331,129.027681,2018-07-24,5380000,경상남도 양산시,
388-1-000029,양산시노상제29공영주차장,공영,노상,,"경상남도 양산시 물금읍 범어리 865 일원 (물금범어택지 시장부지앞, 범어 어드메 인근)",78,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.333232,129.001008,2018-07-24,5380000,경상남도 양산시,
388-1-000030,양산시노상제30공영주차장,공영,노상,,경상남도 양산시 물금읍 범어리 890 일원 (물금범어황전아파트앞),70,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.326035,128.998224,2018-07-24,5380000,경상남도 양산시,
388-1-000031,양산시노상제31공영주차장,공영,노상,,경상남도 양산시 원동면 원리 1239 일원 (원동원리면사무소- 원동역),54,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.365130,128.918208,2018-07-24,5380000,경상남도 양산시,
388-1-000032,양산시노상제32공영주차장,공영,노상,,경상남도 양산시 동면 석산리 1429 일원 (선거관리위원회 앞),37,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.326906,129.033030,2018-07-24,5380000,경상남도 양산시,
388-1-000033,양산시노상제33공영주차장,공영,노상,,경상남도 양산시 산막동 358 일원 (산막산업단지 진입로),98,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.367782,129.056786,2018-07-24,5380000,경상남도 양산시,
388-1-000034,양산시노상제34공영주차장,공영,노상,,경상남도 양산시 교동 292-5 일원,4,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.346516,129.027488,2018-07-24,5380000,경상남도 양산시,
388-1-000035,양산시노상제35공영주차장,공영,노상,,경상남도 양산시 교동 247 (창조아파트 후문),15,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.346476,129.027454,2018-07-24,5380000,경상남도 양산시,
388-1-000036,양산시노상제36공영주차장,공영,노상,,경상남도 양산시 상북면 소토리 1287-1 (대우마리나 입구),8,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.343700,129.026362,2018-07-24,5380000,경상남도 양산시,
388-1-000037,양산시노상제37공영주차장,공영,노상,,"경상남도 양산시 상북면 석계리 153 일원, 스포렉스 앞",38,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.390661,129.050402,2018-07-24,5380000,경상남도 양산시,
388-1-000038,양산시노상웅상제1공영주차장,공영,노상,경상남도 양산시 서창로 114 일원,,169,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.410843,129.167343,2018-07-24,5380000,경상남도 양산시,
388-1-000039,양산시노상웅상제2공영주차장,공영,노상,경상남도 양산시 덕계로 32 일원,,130,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.371201,129.149043,2018-07-24,5380000,경상남도 양산시,
388-1-000040,양산시노상웅상제3공영주차장,공영,노상,경상남도 양산시 번영로 37 일원,,96,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.375270,129.149311,2018-07-24,5380000,경상남도 양산시,
388-1-000041,양산시노상웅상제4공영주차장,공영,노상,경상남도 양산시 소주공단1길 일원,,86,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.420277,129.156205,2018-07-24,5380000,경상남도 양산시,
388-1-000042,양산시노상웅상제5공영주차장,공영,노상,경상남도 양산시 소주공단2길 일원,,82,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.419316,129.154489,2018-07-24,5380000,경상남도 양산시,
388-1-000043,양산시노상웅상제6공영주차장,공영,노상,경상남도 양산시 소주공단3길 일원,,115,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.417268,129.153824,2018-07-24,5380000,경상남도 양산시,
388-1-000044,양산시노상웅상제7공영주차장,공영,노상,경상남도 양산시 소주공단4길 일원,,120,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.415332,129.153039,2018-07-24,5380000,경상남도 양산시,
388-1-000045,양산시노상웅상제8공영주차장,공영,노상,경상남도 양산시 소주공단5길 일원,,91,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-6262,35.416682,129.141644,2018-07-24,5380000,경상남도 양산시,
388-2-000001,북부동제1공영주차장,공영,노외,,경상남도 양산시 북부동 416-3 (양산성당 앞),87,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시시설관리공단,055-379-8534,35.344773,129.038896,2018-07-24,5380000,경상남도 양산시,
388-2-000002,북부동제2공영주차장,공영,노외,,경상남도 양산시 북부동 436 (신신장 옆),35,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시시설관리공단,055-379-8534,35.344780,129.038033,2018-07-24,5380000,경상남도 양산시,
388-2-000003,북부동제3공영주차장,공영,노외,,경상남도 양산시 북부동 178-8 (양산주유소 앞),32,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시시설관리공단,055-379-8534,35.346892,129.040038,2018-07-24,5380000,경상남도 양산시,
388-2-000004,석산공영화물주차장,공영,노외,,경상남도 양산시 동면 석산리 1426 일원 (양산장례식장 일원),129,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,,,,,50000,,,경상남도 양산시시설관리공단,055-379-8534,35.327655,129.029747,2018-07-24,5380000,경상남도 양산시,
388-2-000005,다방공영화물주차장,공영,노외,,경상남도 양산시 다방동 436-2 일원 (다방동 고가다리 밑 일원),106,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,,,,,,,,경상남도 양산시시설관리공단,055-379-8534,35.332631,129.038265,2018-07-24,5380000,경상남도 양산시,
388-2-000006,북부동공영주차장,공영,노외,,"경상남도 양산시 북부동 702-2, 702-6번지",62,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,40000,,,경상남도 양산시시설관리공단,055-379-8534,35.347317,129.037770,2018-07-24,5380000,경상남도 양산시,
388-2-000007,증산공영화물주차장,공영,노외,,"경상남도 양산시 물금읍 물금리 1821, 1826번지",141,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,0,0,,,,,50000,,,경상남도 양산시시설관리공단,055-379-8534,35.309683,129.012416,2018-07-24,5380000,경상남도 양산시,
388-2-000008,남부시장 주차장,공영,노외,경상남도 양산시 장터3길 7,경상남도 양산시 중부동 407-3,111,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시청,055-392-2303,35.343339,129.037007,2018-07-24,5380000,경상남도 양산시,
388-2-000009,남부시장A 시민주차장,공영,노외,경상남도 양산시 서일동로 35,경상남도 양산시 중부동 432-7,21,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시청,055-392-2303,35.341518,129.036939,2018-07-24,5380000,경상남도 양산시,
388-2-000010,남부시장B 시민주차장,공영,노외,경상남도 양산시 장터4길 3,경상남도 양산시 중부동 427-7,23,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시청,055-392-2303,35.342001,129.035361,2018-07-24,5380000,경상남도 양산시,
388-2-000011,북부시장 주차장,공영,노외,,경상남도 양산시 북부동 147-36,42,기타,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,15,200,,6000,,,,경상남도 양산시청,055-392-2303,35.349923,129.041733,2018-07-24,5380000,경상남도 양산시,
388-2-000012,양산역 공영주차장,공영,노외,,경상남도 양산시 중부동 438-9 (양산 지하철역),396,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2912,35.340525,129.027719,2018-07-24,5380000,경상남도 양산시,
388-2-000013,남양산역 주차장,공영,노외,,경상남도 양산시 동면 석산리 1265-6 일원,72,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.324695,129.019358,2018-07-24,5380000,경상남도 양산시,
388-2-000014,부산대양산캠퍼스역 주차장,공영,노외,,경상남도 양산시 물금읍 범어리 2804,93,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.317484,129.007544,2018-07-24,5380000,경상남도 양산시,
388-2-000015,물금역 교통광장주차장,공영,노외,,경상남도 양산시 물금읍 물금리 361-2,50,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.306688,128.986463,2018-07-24,5380000,경상남도 양산시,
388-2-000016,교동마을 공영주차장,공영,노외,,경상남도 양산시 교동 224,19,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.344624,129.026814,2018-07-24,5380000,경상남도 양산시,
388-2-000017,교동 공영주차장,공영,노외,,경상남도 양산시 교동 252 일원,25,기타,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,00:00,24:00,무료,0,0,0,0,0,0,0,,,경상남도 양산시청,055-392-2882,35.343764,129.025230,2018-07-24,5380000,경상남도 양산시,
