"연번","업체명","소재지","등록일","유기기구수","면적(㎡)","연락처","업종"
"16","팡팡노리","경상남도 창원시 마산회원구 내서읍 삼계로 2, 704호(삼계웰빙프라자빌딩)","2014-04-17","5","233","055-232-0408","기타유원시설업"
"17","진해마린어드벤쳐","경상남도 창원시 진해구 진희로 142 (경화동)","2009-03-26","6","120","055-545-2008","기타유원시설업"
"18","이룡사우나","경상남도 창원시 진해구 마천동 9-153번지 153-43,153-44 ","2015-07-22","2",,"055-543-9995","기타유원시설업"
"19","진주랜드","경상남도 진주시 남강로1번길 112-6  (판문동)","1971-09-28","22","2681","055-749-4431","일반유원시설업"
"20","남강레저산업(진주레일바이크)","경상남도 진주시 내동면 망경로 13","2014-09-05","50","19089","055-758-0101","일반유원시설업"
"21","키다리방방","경상남도 진주시 초전남로71,상가동 지하층 1호(초전동,청구아파트)","2014-05-26","6","195","055-753-3003","기타유원시설업"
"22","롤리폴리 초전점","경상남도 진주시 초전남로 2,2층(초전동)","2014-06-02","5","162","055-762-5282","기타유원시설업"
"23","롤리팝","경상남도 진주시 진양호로 350, 지하1층(신안동)","2014-06-24","3","256","055-745-8858","기타유원시설업"
"24","키즈몽 키즈카페","경상남도 진주시 진주대로 546, 3층 (가좌동)","2014-07-14","3","154","055-763-0201","기타유원시설업"
"25","요술램프 키즈카페","경상남도 진주시 초전북로 65, 2층 (초전동)","2014-07-21","6","252","055-762-7966","기타유원시설업"
"26","플레이팡팡","경상남도 진주시 모덕로 220, 2층 (상대동)","2014-07-28","2","334","055-755-2088","기타유원시설업"
"27","쭈니방방","경상남도 진주시 도동로 213 (하대동)","2014-08-07","2","163",,"기타유원시설업"
"28","플레이방방","경상남도 진주시 진양호로 352 (신안동)","2014-08-21","2","259",,"기타유원시설업"
"29","플레이타임","경상남도 진주시 대신로 304, 2층 (상대동)","2014-09-25","3","212","055-762-5022","기타유원시설업"
"30","키즈카페 어린왕자","경상남도 진주시 비봉로58번길 14, 2층 (계동)","2014-12-31","4","222","055-746-1747","기타유원시설업"
"31","플레이방방","경상남도 진주시 남강로 875-4(상대동)","2015-04-09","2","195","055-755-5588","기타유원시설업"
"32","야!타!디스코팡팡","경상남도 통영시 광도면 죽림5로 55-32","2014-08-08","1","288",,"일반유원시설업"
"33","진양호캐리비안","경상남도 사천시 곤명면 경서대로 3642","2009-06-04","2","1615","055-853-7600","일반유원시설업"
"34","㈜남일대리조트","경상남도 사천시 남일대길 70","2009-07-20","2","2171","055-832-9800","일반유원시설업"
"35","㈜사천온천랜드앤관광호텔","경상남도 사천시 용현면 청골길 126","2015-06-30","1","2290","055-850-1510","일반유원시설업"
"36","롤리폴리사남점","경상남도 사남면 조동길 50-10","2014-06-26","7","170","055-855-9778","기타유원시설업"
"37","롤리폴리","경상남도 사남면 정동면 진삼로 1378","2014-06-26","7","213","055-854-5282","기타유원시설업"
"38","키즈누리키즈카페","경상남도 사천시 사천읍 선평길 12-3","2015-01-28","2","317","055-957-7288","기타유원시설업"
"39","롤리폴리삼천포벌리점","경상남도 사천시 주공로 41(벌리동)","2015-03-23","13","311","055-835-5949","기타유원시설업"
"40","가야랜드","경상남도 김해시 인제로 368 (삼방동)","1991-10-05","36","39600","055-337-0311","종합유원시설업"
"41","롯데워터파크","경상남도 김해시 장유로 555 (신문동)","2014-05-01","26","122397","055-900-0100","종합유원시설업"
"42","김해가야테마파크","경상남도 김해시 가야테마길 161 (어방동)","2015-05-21","1","179000","055-340-7922","일반유원시설업"
"43","점핑타임 진영점","경상남도 김해시 진영읍 김해대로361번길 12, 4층 404호 (씨티프라자)","2014-08-13","2","281","055-345-6379","기타유원시설업"
"44","정글팡팡","경상남도 김해시 활천로 168, 2층 (어방동)","2015-06-25","2","161",,"기타유원시설업"
"45","오션베이","경상남도 거제시 일운면 거제대로 2660","2013-06-12","9","14526","055-733-7201","종합유원시설업"
"46","플레이방","경상남도 거제시 능포로 108 (능포동)","2014-07-18","3","80","055-681-5229","기타유원시설업"
"47","노리파크 거제상동점","경상남도 거제시 상동7길 30-1, 상가동 지하1층 101호 (상동동)","2014-08-07","3","263","055-632-7959","기타유원시설업"
"48","해송키즈랜드","경상남도 거제시 장목면 옥포대첩로 1072","2014-08-08","5","435",,"기타유원시설업"
"49","롤리폴리(옥포점)","경상남도 거제시 옥포로 250 (옥포동)","2014-09-11","3","462","055-688-0234","기타유원시설업"
"50","㈜동일리조트 통도환타지아","경상남도 양산시 하북면 통도7길 68","1993-04-30","59","157965",,"종합유원시설업"
"51","노리파크","경상남도 양산시 물금읍 삽량로 36","2014-04-08","4","233","070-7765-5288","기타유원시설업"
"52","트램폴린파크","경상남도 양산시 양주1길 11","2014-04-15","7","260","070-8887-7360","기타유원시설업"
"53","타요팡팡","경상남도 양산시 덕계로 106","2014-05-19","6","220","070-8274-5250","기타유원시설업"
"54","The나무 키즈카페","경상남도 양산시 물금읍 삽량로 40","2014-05-27","1","225","055-362-2335","기타유원시설업"
"55","롤리폴리 양산물금점","경상남도 양산시 물금읍 범어로 62","2014-06-11","12","337","055-385-5282","기타유원시설업"
"56","노리파크 석산점","경상남도 양산시 동면 금오13길 16","2014-06-23","5","144","055-387-1601","기타유원시설업"
"57","점포러스","경상남도 양산시 평산동 120-5","2014-06-23","5","89","055-372-5181","기타유원시설업"
"58","런앤플레이 서창점","경상남도 양산시 삼호1길 36-13","2014-06-26","5","97","055-388-1279","기타유원시설업"
"59","런앤플레이 양산점","경상남도 양산시 물금읍 범어로 64","2014-07-08","3","115","055-363-1279","기타유원시설업"
"60","부곡하와이랜드","경상남도 창녕군 부곡면 거문리 195-7","1984-07-13","60","12600","055-536-6331","종합유원시설업"
"61","고성당항포랜드","경상남도 고성군 회화면 당항만로 1116","2005-07-29","6","2800","055-673-1502","일반유원시설업"
"62","고성군 관광지사업소","경상남도 고성군 회화면 당항만로 1116","2007-11-15","4","551902","055-670-4501","일반유원시설업"
"63","한려개발㈜","경상남도 남해군 삼동면 동부대로 1542-35","2010-08-03","4","140","055-867-4510","일반유원시설업"
"64","㈜옥종불소 유황천 워터파크","경상남도 하동군 옥종면 세종태실로 581","2009-06-29","4","2506","055-884-5955","일반유원시설업"
"65","대도 파라다이스","경상남도 하동군 금남면 대도리 196번지","2012-08-10","3","3637",,"일반유원시설업"
"66","우두렁펜션","경상남도 거창군 웅양면 어인안길56-111","2012-10-23","2","94","055-943-6291","일반유원시설업"
"67","키즈누리","경상남도 거창군 거창읍 거열로 86","2014-07-17","2","88","055-943-1279","기타유원시설업"
"68","점프스토리","경상남도 거창군 거창읍 거창대로 100,201호(선보프라자)","2014-09-05","2","91",,"기타유원시설업"
"69","플레이월드","경상남도 거창군 거창읍 거열로 148","2014-10-24","2","81","055-941-1452","기타유원시설업"
"70","㈜에이치엘디","경상남도 합천군 대양면 정양리 613","2009-07-24","2","20",,"기타유원시설업"
