업종,상호명,소   재   지,전화번호,최초허가일(변경),비  고
기타 유원시설,에플트리이마트 ,경산시 옥산리 227(중산동),070-4416-2006,2014-11-13,"에어하키 1, 볼풀장 1"
기타 유원시설,하이점핑방방카페 ,경산시 하양읍 대경로 717(금락리 116-281),,2014-12-30,"정글짐 1, 붕붕뜀틀 3"
기타 유원시설,마법의성키즈카페 ,경산시 경안로 65길11-8(대평동),053-814-4333,2015-04-20,"붕붕뜀틀 1, 플레이스페이스 1"
기타 유원시설,삐야기키즈카페,경산시 진량읍 다문로 58(3층),053-857-3441,2016-02-29,"회전야자수 1, 붕붕뜀틀 1, 미니회전목 1, 코인라이드 2"
기타 유원시설,아이점프키즈카페 진량점 ,경산시 진량읍 봉황길 75(1층),,2016-08-18,붕붕뜀틀 2
기타 유원시설,조아게임랜드,경산시 강변동로278(대평동) 조아아울렛407-2,,2016-09-26,"자동차경주 2, 미니농구 1, 공던지기 1, 펀치 2, 건슈팅 1"
기타 유원시설,예체능카페 ,영주시 가흥동 대학로 240번길 29-5,054-632-7133,2014-08-21,"미니기차 1, 붕붕뜀틀 1"
기타 유원시설,동광키즈파크 ,문경시 매봉1길 53(모전동),054-554-3565,2014-09-25,"미니에어바운스 1, 정글짐 1"
기타 유원시설,플레이팡팡 ,문경시 매봉로 21(모전동),054-555-2125,2014-10-17,붕붕뜀틀 1
기타 유원시설,키크는아이들,문경시 신흥3길 18(흥덕동),,2014-11-12,붕붕뜀틀 2
기타 유원시설,소풍모텔,문경시 호계면 상무로 317-1,054-554-3500,2015-05-28,미니에어바운스 2
기타 유원시설,엄마랑나랑,문경시 당교6길 28(모전동),054-554-1170,2016-09-29,"미니기차, 코인라이더,붕붕뜀틀2,플레이스페이스"
기타 유원시설,아이띠네 석적점,"칠곡군 석적읍 북중리 3길 26, 2층",054-977-8298,2015-01-07,"붕붕뜀틀 2, 회전야자수 1"
기타 유원시설,팔공기획,칠곡군 동명면 한티로 824,,2015-07-23,에어바운스 2
기타 유원시설,플레이팡팡,울진군 울진읍 연호로23 태원주상복합빌딩2층,,2014-12-31,붕붕뜀틀 2 (여름 일시적영업)
