순번,시군명,시설명,도로명주소,대표자,전화번호,검사기구수,비검기구수,자료출처,공개여부,작성일,갱신주기(년)
38,익산시,성당포구전통테마마을,익산시 성당면 성당로 762,안상일,,,1,관광총괄과,Y,2016-12-31,1
39,정읍시,진영 야구 연습장,정읍시 수성로 33,김찬식,,,12,관광총괄과,Y,2016-12-31,1
40,정읍시,점프노리스포츠,"정읍시 샘골로 85, 2층",최진이,,,2,관광총괄과,Y,2016-12-31,1
41,남원시,이벤트 대성렐탈,남원시 운봉읍 용산리 718,이정숙,,,1,관광총괄과,Y,2016-12-31,1
42,김제시,하우스방방,김제시 금성8길 17,박성규,063-547-4063,,5,관광총괄과,Y,2016-12-31,1
43,무주군,유로번지점프,무주군 설천면 만선로 185,김승종,,,1,관광총괄과,Y,2016-12-31,1
44,무주군,미니기타,무주군 설천면 만선로 185,임정구,,,1,관광총괄과,Y,2016-12-31,1
45,무주군,어리다 함께 슬라이딩,무주군 설천면 소천리 1268,㈜문화나들이,,,1,관광총괄과,Y,2016-12-31,1
46,임실군,임실 버블방방,임실군 임실읍 운수로 19,이주희,070-4799-0007,,2,관광총괄과,Y,2016-12-31,1
47,부안군,줄포만갯벌생태공원 해수풀장,부안군 줄포면 생태공원로 38,부안군수,,,2,관광총괄과,Y,2016-12-31,1
