연월,소비자물가등락률(%),미분양주택현황(호),제조업 재고율지수(2015=100%),상품수지(백만달러),경상수지(백만달러)
Jun-16,0.7,"59,999",101.2,"12,413.10","12,409.70"
Jul-16,0.4,"63,127",100.8,"10,486.80","8,831.80"
Aug-16,0.5,"62,562",102.3,"6,791.00","5,410.10"
Sep-16,1.3,"60,700",101.1,"9,894.60","7,517.50"
Oct-16,1.5,"57,709",101.6,"8,874.90","7,476.80"
Nov-16,1.5,"57,582",97.5,"9,453.10","7,873.30"
Dec-16,1.3,"56,413",94.4,"8,702.60","7,361.50"
Jan-17,2.2,"59,313",95.6,"6,687.50","3,401.70"
Feb-17,2.1,"61,063",97.7,"9,432.30","7,438.60"
Mar-17,2.3,"61,679",95.5,"8,579.60","5,140.30"
Apr-17,2,"60,313",99.6,"10,925.80","3,184.00"
May-17,2,"56,859",102.8,"7,675.60","4,262.10"
Jun-17,1.8,"57,108",100,"8,702.40","7,008.90"
Jul-17,2.2,"54,282",100.6,"9,920.70","7,467.40"
Aug-17,2.5,"53,130",101.5,"8,647.30","6,139.40"
Sep-17,2,"54,420",99.1,"14,522.70","12,337.70"
Oct-17,1.8,"55,707",102.5,"9,417.90","6,890.00"
Nov-17,1.2,"56,647",101.4,"11,165.60","7,474.30"
Dec-17,1.4,"57,330",105.9,"7,915.50","4,486.50"
Jan-18,0.8,"59,104",104.5,"7,338.00","2,556.90"
Feb-18,1.3,"60,903",105.8,"4,793.30","3,226.70"
Mar-18,1.2,"58,004",107.4,"9,216.50","5,210.40"
Apr-18,1.5,"59,583",107.5,"9,402.20","1,490.40"
May-18,1.5,"59,836",103.9,"10,550.20","8,792.30"
Jun-18,1.5,"62,050",106.3,"9,413.50","7,980.10"
Jul-18,1.1,"63,132",106.4,"10,685.30","8,874.40"
Aug-18,1.4,"62,370",105.4,"10,927.60","8,581.20"
Sep-18,2.1,"60,596",104.3,"13,105.20","11,235.50"
Oct-18,2,"60,502",105.9,"10,522.20","9,473.60"
Nov-18,2,"60,122",111.4,"7,504.90","5,130.60"
Dec-18,1.3,"58,838",114.6,"6,627.90","4,914.40"
Jan-19,0.8,"59,162",111.5,"5,752.90","3,296.40"
Feb-19,0.5,"59,614",115.5,"5,424.40","3,850.30"
Mar-19,0.4,"62,147",111.3,"8,338.70","5,039.60"
Apr-19,0.6,"62,041",116.1,"5,608.90",-393.2
May-19,0.7,"62,741",117.9,"5,503.10","5,175.50"
Jun-19,0.7,"63,705",115.7,"6,269.30","5,665.30"
Jul-19,0.6,"62,529",115.4,"6,182.40","6,584.60"
Aug-19,0,"62,385",112.9,"4,630.90","4,860.70"
Sep-19,-0.4,"60,062",113.2,"8,698.70","7,759.10"
Oct-19,0,"56,098",115.1,"8,028.20","7,827.20"
Nov-19,0.2,"53,561",115.7,"7,390.90","5,974.80"
Dec-19,0.7,,107.8,"5,027.60","4,330.90"
Jan-20,1.5,,,,
