"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 12월 02일","1,965.83","1,959.40","1,965.83","1,954.40","317.91M","0.03%"
"2014년 12월 01일","1,965.22","1,971.95","1,971.97","1,962.15","333.98M","-0.79%"
"2014년 11월 28일","1,980.78","1,983.22","1,984.73","1,975.66","340.70M","-0.07%"
"2014년 11월 27일","1,982.09","1,993.65","1,994.82","1,982.08","295.51M","0.06%"
"2014년 11월 26일","1,980.84","1,984.83","1,985.43","1,972.95","253.29M","0.03%"
"2014년 11월 25일","1,980.21","1,981.52","1,981.85","1,973.80","283.19M","0.08%"
"2014년 11월 24일","1,978.54","1,982.48","1,985.18","1,974.37","325.45M","0.70%"
"2014년 11월 21일","1,964.84","1,966.89","1,969.43","1,959.81","345.92M","0.35%"
"2014년 11월 20일","1,958.04","1,960.72","1,962.69","1,952.44","339.22M","-0.45%"
"2014년 11월 19일","1,966.87","1,974.41","1,974.41","1,959.21","279.56M","-0.01%"
"2014년 11월 18일","1,967.01","1,951.93","1,967.01","1,951.93","251.27M","1.20%"
"2014년 11월 17일","1,943.63","1,941.83","1,948.33","1,935.95","277.52M","-0.08%"
"2014년 11월 14일","1,945.14","1,959.64","1,959.64","1,940.49","314.80M","-0.78%"
"2014년 11월 13일","1,960.51","1,970.64","1,973.33","1,954.88","332.60M","-0.34%"
"2014년 11월 12일","1,967.27","1,965.21","1,974.69","1,961.66","348.50M","0.22%"
"2014년 11월 11일","1,963.00","1,957.87","1,965.41","1,956.23","311.40M","0.24%"
"2014년 11월 10일","1,958.23","1,952.79","1,965.35","1,952.79","313.26M","0.95%"
"2014년 11월 07일","1,939.87","1,935.75","1,943.26","1,932.17","255.42M","0.18%"
"2014년 11월 06일","1,936.48","1,933.45","1,939.32","1,923.05","360.57M","0.26%"
"2014년 11월 05일","1,931.43","1,938.61","1,944.50","1,928.99","332.28M","-0.19%"
"2014년 11월 04일","1,935.19","1,950.15","1,956.73","1,928.52","391.71M","-0.91%"
"2014년 11월 03일","1,952.97","1,959.66","1,961.04","1,947.83","344.50M","-0.58%"
"2014년 10월 31일","1,964.43","1,963.26","1,967.08","1,951.07","349.40M","0.28%"
"2014년 10월 30일","1,958.93","1,956.92","1,959.49","1,944.24","311.05M","-0.11%"
"2014년 10월 29일","1,961.17","1,938.80","1,961.49","1,931.59","396.62M","1.84%"
"2014년 10월 28일","1,925.68","1,935.46","1,936.28","1,924.37","414.62M","-0.33%"
"2014년 10월 27일","1,931.97","1,933.91","1,939.25","1,929.26","408.84M","0.33%"
"2014년 10월 24일","1,925.69","1,942.46","1,942.72","1,916.84","419.43M","-0.31%"
"2014년 10월 23일","1,931.65","1,932.43","1,944.45","1,924.14","372.83M","-0.27%"
"2014년 10월 22일","1,936.97","1,936.91","1,936.99","1,924.21","399.10M","1.13%"
"2014년 10월 21일","1,915.28","1,923.62","1,923.62","1,911.03","405.92M","-0.77%"
"2014년 10월 20일","1,930.06","1,918.84","1,933.12","1,917.54","344.67M","1.55%"
"2014년 10월 17일","1,900.66","1,923.51","1,923.51","1,896.54","362.08M","-0.95%"
"2014년 10월 16일","1,918.83","1,911.45","1,922.94","1,904.77","313.61M","-0.37%"
"2014년 10월 15일","1,925.91","1,932.11","1,938.85","1,918.77","310.34M","-0.17%"
"2014년 10월 14일","1,929.25","1,933.45","1,940.21","1,926.87","335.51M","0.11%"
"2014년 10월 13일","1,927.21","1,919.48","1,932.37","1,918.48","308.92M","-0.71%"
"2014년 10월 10일","1,940.92","1,953.98","1,953.98","1,931.88","342.82M","-1.24%"
"2014년 10월 08일","1,965.25","1,957.90","1,974.27","1,957.90","266.18M","-0.39%"
"2014년 10월 07일","1,972.91","1,979.83","1,982.96","1,966.22","328.23M","0.23%"
"2014년 10월 06일","1,968.39","1,987.89","1,988.39","1,968.30","325.08M","-0.39%"
"2014년 10월 02일","1,976.16","1,984.43","1,985.06","1,966.17","322.66M","-0.77%"
"2014년 10월 01일","1,991.54","2,013.47","2,013.47","1,989.84","351.58M","-1.41%"
"2014년 09월 30일","2,020.09","2,023.18","2,029.17","2,007.30","322.81M","-0.32%"
"2014년 09월 29일","2,026.60","2,035.93","2,036.44","2,021.37","339.59M","-0.25%"
"2014년 09월 26일","2,031.64","2,019.17","2,031.65","2,018.70","313.52M","-0.12%"
"2014년 09월 25일","2,034.11","2,045.66","2,046.26","2,030.09","325.38M","-0.08%"
"2014년 09월 24일","2,035.64","2,024.75","2,036.26","2,019.91","332.59M","0.33%"
"2014년 09월 23일","2,028.91","2,028.90","2,036.25","2,025.16","427.81M","-0.51%"
"2014년 09월 22일","2,039.27","2,053.30","2,053.30","2,032.36","323.89M","-0.71%"
"2014년 09월 19일","2,053.82","2,057.56","2,062.37","2,053.66","397.74M","0.30%"
"2014년 09월 18일","2,047.74","2,058.21","2,063.26","2,044.17","394.27M","-0.72%"
"2014년 09월 17일","2,062.61","2,052.06","2,062.62","2,051.11","351.67M","0.96%"
"2014년 09월 16일","2,042.92","2,039.92","2,045.65","2,036.23","365.69M","0.35%"
"2014년 09월 15일","2,035.82","2,039.03","2,040.08","2,028.80","297.61M","-0.30%"
"2014년 09월 12일","2,041.86","2,042.51","2,048.21","2,037.37","362.67M","0.38%"
"2014년 09월 11일","2,034.16","2,046.97","2,052.16","2,034.13","333.41M","-0.74%"
"2014년 09월 05일","2,049.41","2,053.18","2,059.04","2,044.68","343.35M","-0.33%"
"2014년 09월 04일","2,056.26","2,059.05","2,065.27","2,050.79","376.39M","0.25%"
"2014년 09월 03일","2,051.20","2,050.09","2,054.08","2,040.44","337.97M","-0.02%"
"2014년 09월 02일","2,051.58","2,065.97","2,066.00","2,049.15","323.12M","-0.79%"
"2014년 09월 01일","2,067.86","2,067.80","2,072.59","2,062.30","272.47M","-0.03%"
"2014년 08월 29일","2,068.54","2,070.73","2,073.03","2,060.14","301.37M","-0.35%"
"2014년 08월 28일","2,075.76","2,083.03","2,088.86","2,072.14","305.88M","0.04%"
"2014년 08월 27일","2,074.93","2,075.45","2,081.83","2,070.77","337.61M","0.33%"
"2014년 08월 26일","2,068.05","2,069.07","2,072.42","2,065.15","288.91M","0.35%"
"2014년 08월 25일","2,060.89","2,049.16","2,062.23","2,044.20","272.04M","0.20%"
"2014년 08월 22일","2,056.70","2,048.24","2,058.46","2,046.54","277.86M","0.61%"
"2014년 08월 21일","2,044.21","2,067.63","2,068.22","2,041.91","307.80M","-1.38%"
"2014년 08월 20일","2,072.78","2,080.77","2,082.21","2,063.61","315.36M","0.08%"
"2014년 08월 19일","2,071.14","2,065.19","2,074.43","2,064.34","327.12M","0.88%"
"2014년 08월 18일","2,053.13","2,070.95","2,073.05","2,053.13","300.42M","-0.49%"
"2014년 08월 14일","2,063.22","2,065.69","2,073.42","2,056.06","270.85M","0.04%"
"2014년 08월 13일","2,062.36","2,046.68","2,062.36","2,043.11","280.66M","1.02%"
"2014년 08월 12일","2,041.47","2,048.39","2,055.85","2,038.14","312.80M","0.10%"
"2014년 08월 11일","2,039.37","2,048.18","2,048.18","2,037.80","285.84M","0.41%"
"2014년 08월 08일","2,031.10","2,049.51","2,051.06","2,026.56","354.82M","-1.14%"
"2014년 08월 07일","2,054.51","2,062.24","2,063.53","2,047.75","292.94M","-0.30%"
"2014년 08월 06일","2,060.73","2,062.93","2,068.08","2,055.68","377.27M","-0.27%"
"2014년 08월 05일","2,066.26","2,076.17","2,077.73","2,058.92","346.82M","-0.68%"
"2014년 08월 04일","2,080.42","2,080.77","2,083.05","2,067.17","253.20M","0.35%"
"2014년 08월 01일","2,073.10","2,063.71","2,079.81","2,062.54","271.97M","-0.15%"
"2014년 07월 31일","2,076.12","2,081.75","2,090.57","2,070.78","383.73M","-0.31%"
"2014년 07월 30일","2,082.61","2,064.47","2,093.08","2,062.88","343.29M","1.00%"
"2014년 07월 29일","2,061.97","2,054.03","2,065.96","2,053.41","408.77M","0.64%"
"2014년 07월 28일","2,048.81","2,035.96","2,053.84","2,035.96","349.02M","0.74%"
"2014년 07월 25일","2,033.85","2,030.04","2,036.20","2,027.33","282.77M","0.36%"
"2014년 07월 24일","2,026.62","2,032.94","2,034.72","2,021.22","323.59M","-0.08%"
"2014년 07월 23일","2,028.32","2,032.73","2,035.24","2,025.00","353.51M","-0.03%"
"2014년 07월 22일","2,028.93","2,021.18","2,028.93","2,017.76","265.89M","0.52%"
"2014년 07월 21일","2,018.50","2,028.02","2,030.61","2,016.42","274.63M","-0.05%"
"2014년 07월 18일","2,019.42","2,007.12","2,019.42","2,006.01","304.52M","-0.07%"
"2014년 07월 17일","2,020.90","2,020.52","2,025.41","2,018.77","322.70M","0.37%"
"2014년 07월 16일","2,013.48","2,015.67","2,018.05","2,008.99","315.17M","0.04%"
"2014년 07월 15일","2,012.72","2,004.93","2,015.54","2,004.49","361.20M","0.94%"
"2014년 07월 14일","1,993.88","1,998.26","2,001.11","1,993.57","270.39M","0.26%"
"2014년 07월 11일","1,988.74","1,988.93","1,993.46","1,985.53","277.02M","-0.70%"
"2014년 07월 10일","2,002.84","2,004.63","2,006.50","1,999.96","327.64M","0.12%"
"2014년 07월 09일","2,000.50","1,997.57","2,000.89","1,992.42","272.75M","-0.31%"
"2014년 07월 08일","2,006.66","2,003.55","2,009.22","1,997.87","259.36M","0.08%"
"2014년 07월 07일","2,005.12","2,007.53","2,009.32","1,998.03","228.34M","-0.23%"
"2014년 07월 04일","2,009.66","2,018.35","2,018.35","2,005.84","241.51M","-0.07%"
"2014년 07월 03일","2,010.97","2,015.99","2,015.99","2,007.86","259.91M","-0.21%"
"2014년 07월 02일","2,015.28","2,008.00","2,016.36","2,002.40","318.42M","0.81%"
"2014년 07월 01일","1,999.00","1,993.29","1,999.00","1,987.89","238.87M","-0.16%"
"2014년 06월 30일","2,002.21","1,996.13","2,002.21","1,992.65","201.13M","0.69%"
"2014년 06월 27일","1,988.51","1,990.90","1,997.01","1,983.88","218.84M","-0.33%"
"2014년 06월 26일","1,995.05","1,983.00","1,997.08","1,982.48","273.51M","0.67%"
"2014년 06월 25일","1,981.77","1,992.69","1,993.60","1,980.78","336.65M","-0.63%"
"2014년 06월 24일","1,994.35","1,976.24","1,998.31","1,976.24","250.60M","0.98%"
"2014년 06월 23일","1,974.92","1,975.10","1,980.31","1,971.61","231.74M","0.35%"
"2014년 06월 20일","1,968.07","1,990.71","1,990.73","1,965.12","232.66M","-1.20%"
"2014년 06월 19일","1,992.03","1,994.23","1,999.11","1,985.89","257.89M","0.13%"
"2014년 06월 18일","1,989.49","2,002.26","2,002.26","1,987.03","216.85M","-0.60%"
"2014년 06월 17일","2,001.55","1,994.89","2,002.96","1,991.53","236.60M","0.40%"
"2014년 06월 16일","1,993.59","1,986.86","1,995.86","1,985.30","233.60M","0.14%"
