번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,급수시설구분명,남성종사자수,년도,다중이용업소여부,등급구분명,시설총규모,여성종사자수,영업장주변구분명,위생업종명,위생업태명,총종업원수,전화번호,위치정보(X),위치정보(Y),상세영업상태명
24,건영옴니백화점여탕매점,서울특별시 노원구 중계동 506-1번지 여탕 ,"서울특별시 노원구 섬밭로 258, 7층 (중계동, 여탕)",20170421,운영중,,,,,9.90,139863,상수도전용,,2017,N,,9.9,,,휴게음식점,백화점,,02  971 7033,205749.52910300000  ,459958.85166000000  ,영업
25,건영옴니백화점내매점,서울특별시 노원구 중계동 506-1번지 ,"서울특별시 노원구 섬밭로 258, 7층 (중계동)",20170421,운영중,,,,,9.90,139863,상수도전용,,2017,N,,9.9,,,휴게음식점,백화점,,02  949 7098,205749.52910300000  ,459958.85166000000  ,영업
26,위고에빅토르,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점본점)",20170328,운영중,,,,,10.00,135900,,,2017,N,,10,,,휴게음식점,백화점,,031 7342942,202425.36340700000  ,447541.58378500000  ,영업
27,욜로에그(YOLO EGG),서울특별시 서초구 반포동 19-3번지 신세계백화점 강남점 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점)",20170608,운영중,,,,,9.00,137713,,,2017,N,,9,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
28,제이프레시,서울특별시 서초구 반포동 19-3번지 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 강남신세계백화점)",20170608,운영중,,,,,10.00,137713,,,2017,N,,10,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
29,마이버거,서울특별시 강동구 천호동 455-8번지 ,"서울특별시 강동구 천호대로 1005, 지하2층 (천호동, 현대백화점천호점)",20170622,운영중,,,,,3.30,134874,,,2017,N,,3.3,,,휴게음식점,백화점,,,210997.25792200000  ,448824.42207300000  ,영업
30,(주)현대백화점 미아점,서울특별시 성북구 길음동 20-1번지 외11필지 현대백화점 ,"서울특별시 성북구 동소문로 315 (길음동,외11필지 현대백화점)",20010825,운영중,,,,,59.15,136800,상수도전용,0,2001,N,기타,59.15,0,기타,휴게음식점,백화점,0,0221161007,202538.01047000000  ,456535.59078600000  ,영업
31,(주)현대 백화점 미아점 델리 행사장,서울특별시 성북구 길음동 20-1번지 현대백화점 ,"서울특별시 성북구 동소문로 315 (길음동,현대백화점)",20040513,운영중,,,,,22.96,136719,상수도전용,0,2004,N,,22.96,0,,휴게음식점,백화점,0,0221171003,202538.01047000000  ,456535.59078600000  ,영업
32,동원산업,서울특별시 도봉구 창동 1-10번지 하나로클럽지하1층수산팀 ,"서울특별시 도봉구 마들로11길 20 (창동,하나로클럽지하1층수산팀)",20090421,운영중,,,,,6.60,132898,상수도전용,,2009,N,,6.6,,기타,휴게음식점,백화점,,032 4655792,204674.27785400000  ,461798.94126100000  ,영업
33,(주)한국축지,서울특별시 도봉구 창동 135-26번지 (지하1층) ,"서울특별시 도봉구 노해로65길 4 (창동,(지하1층))",20090525,운영중,,,,,6.60,132904,,,2009,N,,6.6,,,휴게음식점,백화점,,031 7142193,204166.83094300000  ,461369.45197200000  ,영업
34,군산오징어,서울특별시 중구 소공동 1번지 ,"서울특별시 중구 남대문로 81 (소공동, 지하1층)",20130912,운영중,,,,,10.00,100070,,,2013,N,,10,,,휴게음식점,백화점,,15776236,198385.90413900000  ,451688.49847700000  ,영업
35,이따리아노,서울특별시 중구 흥인동 1-0번지 ,,19890805,운영중,,,,,28.50,100878,상수도전용,2,1989,N,갑,28.5,4,기타,휴게음식점,백화점,6,0207789238,,,영업
36,카린토만주,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가, 신세계백화점)",20110407,운영중,,,,,6.60,100011,,,2011,N,,6.6,,,휴게음식점,백화점,,02  556 9891,198319.45712900000  ,451265.54198300000  ,영업
37,빌리엔젤 신세계본점,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20141128,운영중,,,,,9.90,100011,,,2014,N,,9.9,,,휴게음식점,백화점,,02 5126257,198301.51145200000  ,451203.49008500000  ,영업
38,살라타이,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20110922,운영중,,,,,52.90,100070,,,2011,N,,52.9,,,휴게음식점,백화점,,,198259.653577       ,451392.198219       ,영업
39,시시케밥,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가, 신세계백화점)",20120426,운영중,,,,,9.90,100011,,,2012,N,,9.9,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
40,베키아 에누보 본점,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20050805,운영중,,,,,168.92,100011,상수도전용,0,2005,N,,168.92,0,,휴게음식점,백화점,0,02 3170081,198301.51145200000  ,451203.49008500000  ,영업
41,(주)그레아코리아,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,20050829,운영중,,,,,6.61,100011,상수도전용,0,2005,N,,6.61,0,,휴게음식점,백화점,0,02 3105198,,,영업
42,크레마 디 몬타냐,서울특별시 중구 충무로1가 52-5번지 신세계백화점  지하1층 ,"서울특별시 중구 소공로 63, 신세계백화점  지하1층 (충무로1가)",20050801,운영중,,,,,26.00,100011,상수도전용,0,2005,N,,32.06,0,,휴게음식점,백화점,0,02 7147071,198319.45712900000  ,451265.54198300000  ,영업
43,오슬로(O'SIO),서울특별시 중구 충무로1가 52-5번지 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가, 지하1층)",20150310,운영중,,,,,13.22,100011,,,2015,N,,13.22,,,휴게음식점,백화점,,02  728 7019,198319.45712900000  ,451265.54198300000  ,영업
44,팔천당(핫텐도),서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20150129,운영중,,,,,15.50,100070,,,2015,N,,15.5,,,휴게음식점,백화점,,02 8907700,198385.90413900000  ,451688.49847700000  ,영업
45,(주) 창화당,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점 지하1층)",20150217,운영중,,,,,6.20,100011,,,2015,N,,6.2,,,휴게음식점,백화점,,02  63002525,198319.45712900000  ,451265.54198300000  ,영업
46,가라망,서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점 본점 지하1층)",20050801,운영중,,,,,52.23,100011,상수도전용,0,2005,N,,52.23,0,,휴게음식점,백화점,0,0222425896,198319.45712900000  ,451265.54198300000  ,영업
47,예전,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,20050801,운영중,,,,,24.00,100011,상수도전용,0,2005,N,,24,0,,휴게음식점,백화점,0,,,,영업
48,뉴푸드유통,서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,20050801,운영중,,,,,8.00,100011,상수도전용,0,2005,N,,8,0,,휴게음식점,백화점,0,1,,,영업
49,보보라보,서울특별시 중구 남대문로2가 130번지 롯데백화점 애비뉴엘(지상3층) ,"서울특별시 중구 남대문로 73 (남대문로2가,롯데백화점 애비뉴엘(지상3층))",20050401,운영중,,,,,91.90,100092,상수도전용,0,2005,N,,91.9,0,기타,휴게음식점,백화점,0,0221186080,198377.75179000000  ,451630.19219000000  ,영업
50,하이드파크,서울특별시 중구 신당동 1-0번지 ,,19890805,운영중,,,,,69.11,100450,상수도전용,4,1989,N,갑,69.11,3,기타,휴게음식점,백화점,7,02 7786656,,,영업
51,마가레트,서울특별시 중구 흥인동 1-0번지 ,,19890805,운영중,,,,,132.00,100878,상수도전용,3,1989,N,갑,132,7,기타,휴게음식점,백화점,10,0207765925,,,영업
52,로하디,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점 지하1층)",20100702,운영중,,,,,4.00,100011,,,2010,N,,4,,,휴게음식점,백화점,,0317374288,198319.45712900000  ,451265.54198300000  ,영업
53,앨리스델리,서울특별시 중구 충무로1가 52-5번지 신세계백화점지하1층 ,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점지하1층)",20091116,운영중,,,,,3.30,100011,상수도전용,,2009,N,,3.3,,,휴게음식점,백화점,,0234791039,198319.45712900000  ,451265.54198300000  ,영업
54,롯데쇼핑(주),서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 지하 81, 1층 (소공동)",20100819,운영중,,,,,1.50,100070,,,2010,N,,1.5,,,휴게음식점,백화점,,027723013,198385.90413900000  ,451688.49847700000  ,영업
55,화미가,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20090722,운영중,,,,,6.60,100070,상수도전용,,2009,N,,6.6,,,휴게음식점,백화점,,,198259.653577       ,451392.198219       ,영업
56,(주)거산하북교역,서울특별시 중구 충무로1가 52-20번지 신세계백화점 지하1층 ,,20090729,운영중,,,,,6.60,100011,상수도전용,,2009,N,,6.6,,,휴게음식점,백화점,,02 8010027,,,영업
57,명류당,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점 지하1층)",20090804,운영중,,,,,6.00,100011,상수도전용,,2009,N,,6,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
58,코르네포트로얄,서울특별시 중구 소공동 1번지 롯데백화점 식품관 (지하1층) ,,20090205,운영중,,,,,8.00,100070,상수도전용,,2009,N,,8,,,휴게음식점,백화점,,,198259.653577       ,451392.198219       ,영업
59,디케이트레이딩 모찌크림,서울특별시 중구 소공동 1번지 롯데백화점 (지하1층) ,,20090206,운영중,,,,,15.00,100070,상수도전용,,2009,N,,15,,,휴게음식점,백화점,,02  772 3997,198259.653577       ,451392.198219       ,영업
60,최가명과,서울특별시 중구 소공동 1번지 (롯데백화점 지하1층) ,,20111014,운영중,,,,,13.00,100070,,,2011,N,,13,,,휴게음식점,백화점,,,198259.653577       ,451392.198219       ,영업
61,파파로티,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20110628,운영중,,,,,8.88,100070,,,2011,N,,8.88,,,휴게음식점,백화점,,025859478,198259.653577       ,451392.198219       ,영업
62,찬합,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20110712,운영중,,,,,16.17,100070,,,2011,N,,16.17,,,휴게음식점,백화점,,02793 3480,198385.90413900000  ,451688.49847700000  ,영업
63,아이올리,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20110718,운영중,,,,,33.40,100070,,,2011,N,,33.4,,,휴게음식점,백화점,,0222995599,198259.653577       ,451392.198219       ,영업
64,오렌지나라,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점 지하1층)",20110419,운영중,,,,,10.00,100011,,,2011,N,,10,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
65,봄채비빔밥하우스,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20110502,운영중,,,,,51.24,100070,,,2011,N,,51.24,,,휴게음식점,백화점,,027264501,198259.653577       ,451392.198219       ,영업
66,(주)영우 롯데 에비뉴엘점,서울특별시 중구 남대문로2가 130번지 에비뉴엘 12층 ,"서울특별시 중구 남대문로 73 (남대문로2가,에비뉴엘 12층)",20110126,운영중,,,,,3.30,100092,,,2011,N,,3.3,,,휴게음식점,백화점,,0221186337,198377.75179000000  ,451630.19219000000  ,영업
67,치라시 본점,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20110921,운영중,,,,,33.10,100070,,,2011,N,,33.1,,,휴게음식점,백화점,,027933480,198259.653577       ,451392.198219       ,영업
68,프레쉬윌,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,20110922,운영중,,,,,16.73,100070,,,2011,N,,16.73,,,휴게음식점,백화점,,,198259.653577       ,451392.198219       ,영업
69,(주)승휘연,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점 지하1층)",20110922,운영중,,,,,10.00,100011,,,2011,N,,10,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
70,(주)우리농산,서울특별시 중구 소공동 1번지 지하1층 ,,20110215,운영중,,,,,4.00,100070,,,2011,N,,4,,,휴게음식점,백화점,,0315916204,198259.653577       ,451392.198219       ,영업
71,황가네 에프에스,서울특별시 중구 충무로1가 54번지 (지하1층) ,"서울특별시 중구 퇴계로 77 (충무로1가,(지하1층))",20070123,운영중,,,,,6.00,100011,상수도전용,2,2007,N,우수,6,0,기타,휴게음식점,백화점,2,,198301.51145200000  ,451203.49008500000  ,영업
72,화이트하우스,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가, 신세계백화점)",20121005,운영중,,,,,7.20,100011,,,2012,N,,7.2,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
73,(주)나무,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가)",20121009,운영중,,,,,30.00,100011,,,2012,N,,30,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
74,팔방루,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81, 지하1층 (소공동, 롯데백화점)",20120410,운영중,,,,,29.70,100070,,,2012,N,,29.7,,,휴게음식점,백화점,,,198385.90413900000  ,451688.49847700000  ,영업
75,아라온(주),서울특별시 중구 충무로1가 52-20번지 (지하1층) ,,20050801,운영중,,,,,20.00,100011,상수도전용,0,2005,N,,20,0,,휴게음식점,백화점,0,02 7908877,,,영업
76,(주)이푸르미,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가, 신세계백화점)",20120524,운영중,,,,,30.00,100011,,,2012,N,,30,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
77,착한농부,서울특별시 중구 충무로1가 52-5번지 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가)",20140128,운영중,,,,,30.00,100011,,,2014,N,,30,,,휴게음식점,백화점,,15881234,198319.45712900000  ,451265.54198300000  ,영업
78,아모레퍼시픽 오설록,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20140508,운영중,,,,,15.70,100011,,,2014,N,,15.7,,,휴게음식점,백화점,,,198301.51145200000  ,451203.49008500000  ,영업
79,신세계 식품관 쥬스바,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20140819,운영중,,,,,13.67,100011,,,2014,N,,13.67,,,휴게음식점,백화점,,,198301.51145200000  ,451203.49008500000  ,영업
80,그래머시홀델리2,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20140819,운영중,,,,,2.98,100011,,,2014,N,,2.98,,,휴게음식점,백화점,,,198301.51145200000  ,451203.49008500000  ,영업
81,해피레몬 플러스,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20140306,운영중,,,,,16.20,100070,,,2014,N,,16.2,,,휴게음식점,백화점,,02  726 4074,198385.90413900000  ,451688.49847700000  ,영업
82,주니어스 치즈케이크 앤 디저트,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20140310,운영중,,,,,16.50,100070,,,2014,N,,16.5,,,휴게음식점,백화점,,0234676663,198385.90413900000  ,451688.49847700000  ,영업
83,순희네 에프앤비,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20140904,운영중,,,,,8.00,100011,,,2014,N,,8,,,휴게음식점,백화점,,,198301.51145200000  ,451203.49008500000  ,영업
84,한입,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20140912,운영중,,,,,4.20,100070,,,2014,N,,4.2,,,휴게음식점,백화점,,,198385.90413900000  ,451688.49847700000  ,영업
85,딘앤델루카(DEAN&DELUCA),서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,"서울특별시 중구 퇴계로 77 (충무로1가, 신세계백화점 신관 지하1층)",20140620,운영중,,,,,55.50,100011,,,2014,N,,55.5,,,휴게음식점,백화점,,,198301.51145200000  ,451203.49008500000  ,영업
86,바르다 김선생 서울역점,서울특별시 중구 봉래동2가 122번지 롯데마트 서울역점 2층 ,"서울특별시 중구 청파로 426 (봉래동2가, 롯데마트 서울역점 2층)",20140923,운영중,,,,,16.50,100162,,,2014,N,,16.5,,,휴게음식점,백화점,,,197337.12662400000  ,450880.46003600000  ,영업
87,화미가,서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가, 신세계백화점 본점 지하1층)",20140328,운영중,,,,,6.61,100011,,,2014,N,,6.61,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
88,고디바,서울특별시 중구 소공동 1번지 롯데백화점 본점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 본점 지하1층)",20140418,운영중,,,,,36.39,100070,,,2014,N,,36.39,,,휴게음식점,백화점,,,198385.90413900000  ,451688.49847700000  ,영업
89,바르도 롯데백화점 본점,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20140418,운영중,,,,,16.50,100070,,,2014,N,,16.5,,,휴게음식점,백화점,,02 5405418,198385.90413900000  ,451688.49847700000  ,영업
90,(주)해피레몬코리아 롯데본점,서울특별시 중구 소공동 1번지 ,"서울특별시 중구 남대문로 81, 지하1층 (소공동)",20140122,운영중,,,,,16.20,100070,,,2014,N,,16.2,,,휴게음식점,백화점,,,198385.90413900000  ,451688.49847700000  ,영업
91,보로드카세,서울특별시 중구 소공동 1번지 ,"서울특별시 중구 남대문로 81, 지하1층 (소공동)",20130923,운영중,,,,,16.53,100070,,,2013,N,,16.53,,,휴게음식점,백화점,,02 5980595,198385.90413900000  ,451688.49847700000  ,영업
92,비첸향,서울특별시 중구 소공동 1번지 지하1층 ,"서울특별시 중구 남대문로 81, 지하1층 (소공동)",20131017,운영중,,,,,62.81,100070,,,2013,N,,62.81,,,휴게음식점,백화점,,02 7712500,198385.90413900000  ,451688.49847700000  ,영업
93,하나마루,서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 지하1층 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가, 신세계백화점 본점)",20130314,운영중,,,,,13.00,100011,,,2013,N,,13,,,휴게음식점,백화점,,,198319.45712900000  ,451265.54198300000  ,영업
94,분메이도,서울특별시 중구 충무로1가 52-5번지 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가)",20130709,운영중,,,,,10.00,100011,,,2013,N,,10,,,휴게음식점,백화점,,07076218123,198319.45712900000  ,451265.54198300000  ,영업
95,하나요리당고,서울특별시 중구 소공동 1번지 ,"서울특별시 중구 을지로 30, 지하1층 (소공동)",20130807,운영중,,,,,7.50,100070,,,2013,N,,7.5,,,휴게음식점,백화점,,031 9086181,198322.07163500000  ,451756.87442100000  ,영업
